35400. 1220. -1500. -242. 311. 311. 128. 65.8 125. 52.9 49.1 47.4 0.899 -1.21 -3.52
1220. 5800. 2480. 27.4 -38.6 92.2 72.5 27.4 6.01 1.54 1.01 6.85 2.64 1.62 0.376
-1500. 2480. 3370. 784. -11.7 63.2 76.5 46.8 37.5 29. 12.8 4.43 1.46 -0.217 0.237
-242. 27.4 784. 1630. 248. 84.1 117. 61.9 62. 45.5 20.6 5.59 -1.24 0.0773 -0.575
311. -38.6 -11.7 248. 554. 222. 102. 53.4 53.6 37.2 17. 5.05 -1.87 0.111 -0.656
311. 92.2 63.2 84.1 222. 284. 128. 34.5 40.3 28.9 15.1 7.67 -1.04 0.211 -0.443
128. 72.5 76.5 117. 102. 128. 184. 59. 22.9 23.8 14.4 6.98 -0.02 0.382 0.135
65.8 27.4 46.8 61.9 53.4 34.5 59. 104. 27.4 12.4 10.6 7.12 1.92 0.278 0.495
125. 6.01 37.5 62. 53.6 40.3 22.9 27.4 61. 22.8 10.3 6.2 1.63 0.0879 0.0404
52.9 1.54 29. 45.5 37.2 28.9 23.8 12.4 22.8 38.2 15.8 4.67 0.966 0.102 0.0698
49.1 1.01 12.8 20.6 17. 15.1 14.4 10.6 10.3 15.8 26.7 12.5 0.927 -0.0491 0.0693
47.4 6.85 4.43 5.59 5.05 7.67 6.98 7.12 6.2 4.67 12.5 14.7 2.2 -0.247 0.0263
0.899 2.64 1.46 -1.24 -1.87 -1.04 -0.02 1.92 1.63 0.966 0.927 2.2 2.46 0.0602 0.0196
-1.21 1.62 -0.217 0.0773 0.111 0.211 0.382 0.278 0.0879 0.102 -0.0491 -0.247 0.0602 0.32 -0.00339
-3.52 0.376 0.237 -0.575 -0.656 -0.443 0.135 0.495 0.0404 0.0698 0.0693 0.0263 0.0196 -0.00339 0.194
