W_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.60 , 0.90 , 35.5 , 10.0 , 12.3 ,  4.1 ,  0.4 , 39.1
0.90 , 1.00 , 33.3 ,  8.8 , 10.1 ,  4.0 ,  0.3 , 36.1
1.00 , 1.10 , 17.8 ,  4.8 ,  7.4 ,  3.6 ,  0.4 , 20.2
1.10 , 1.20 ,  6.3 ,  3.1 ,  5.1 ,  4.4 ,  0.6 ,  9.8
1.20 , 1.30 ,  5.1 ,  3.8 ,  3.2 ,  4.6 ,  0.6 ,  8.5
1.30 , 1.40 ,  5.0 ,  5.1 ,  5.5 ,  3.9 ,  0.5 ,  9.8
1.40 , 1.50 ,  5.1 ,  6.2 ,  5.4 ,  3.5 ,  0.5 , 10.3
1.50 , 1.60 ,  5.4 ,  6.6 ,  5.3 ,  3.5 ,  0.4 , 10.6
1.60 , 1.70 ,  6.5 ,  7.5 ,  6.3 ,  3.2 ,  0.4 , 12.2
1.70 , 1.80 , 11.3 ,  8.9 ,  8.7 ,  2.7 ,  0.3 , 17.0
