pi0_theta_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 10.00 ,  8.5 ,  9.0 ,  5.5 ,  2.5 ,  0.4 , 13.8
10.00 , 20.00 ,  6.1 ,  6.4 ,  5.3 ,  3.7 ,  0.5 , 10.9
20.00 , 30.00 ,  5.2 ,  4.8 ,  3.2 ,  4.0 ,  0.5 ,  8.7
30.00 , 40.00 ,  3.6 ,  3.9 ,  2.4 ,  4.4 ,  0.6 ,  7.3
40.00 , 50.00 ,  2.3 ,  3.5 ,  3.4 ,  4.0 ,  0.5 ,  6.8
50.00 , 60.00 ,  2.3 ,  4.1 ,  3.6 ,  3.6 ,  0.5 ,  6.9
60.00 , 70.00 ,  2.1 ,  5.2 ,  3.3 ,  3.0 ,  0.4 ,  7.2
70.00 , 80.00 ,  3.5 ,  4.9 ,  4.6 ,  3.3 ,  0.5 ,  8.3
80.00 , 90.00 ,  4.4 ,  6.2 ,  6.9 ,  2.4 ,  0.4 , 10.6
90.00 , 120.00 ,  5.6 ,  4.6 ,  3.6 ,  3.8 ,  0.5 ,  9.0
120.00 , 180.00 ,  5.1 ,  3.2 ,  2.1 ,  5.5 ,  0.7 ,  8.4
