Bin Min, Bin Max,  Neutrino flux (nu/m^2/GeV/POT)
   0.0 ,    0.5 , 8.58e-10
   0.5 ,    1.0 , 1.38e-09
   1.0 ,    1.5 , 3.45e-09
   1.5 ,    2.0 , 5.06e-09
   2.0 ,    2.5 , 6.66e-09
   2.5 ,    3.0 , 8.18e-09
   3.0 ,    3.5 , 8.53e-09
   3.5 ,    4.0 , 6.81e-09
   4.0 ,    4.5 , 4.06e-09
   4.5 ,    5.0 , 2.20e-09
   5.0 ,    5.5 , 1.35e-09
   5.5 ,    6.0 , 9.72e-10
   6.0 ,    6.5 , 7.90e-10
   6.5 ,    7.0 , 6.67e-10
   7.0 ,    7.5 , 5.82e-10
   7.5 ,    8.0 , 5.09e-10
   8.0 ,    8.5 , 4.58e-10
   8.5 ,    9.0 , 4.10e-10
   9.0 ,    9.5 , 3.71e-10
   9.5 ,   10.0 , 3.40e-10
  10.0 ,   11.0 , 2.95e-10
  11.0 ,   12.0 , 2.46e-10
  12.0 ,   13.0 , 2.06e-10
  13.0 ,   14.0 , 1.75e-10
  14.0 ,   15.0 , 1.45e-10
  15.0 ,   16.0 , 1.20e-10
  16.0 ,   17.0 , 1.01e-10
  17.0 ,   18.0 , 8.42e-11
  18.0 ,   19.0 , 7.11e-11
  19.0 ,   20.0 , 6.07e-11
