error summary
lower, upper, (I), (II), (III), (IV), (V), Total

    0,     2,   7.2,   1.7,   3.3,   7.3,   1.3,  10.7, 
    2,     4,   6.7,   1.9,   3.9,   7.4,   1.5,  10.6, 
    4,     6,   7.4,   2.1,   3.3,   7.4,   2.2,  11.2, 
    6,     8,   7.8,   3.0,   2.8,   7.4,   3.8,  12.0, 
    8,    10,   8.4,   3.3,   3.1,   7.4,   4.0,  12.7, 
   10,    12,   8.6,   4.9,   3.4,   7.6,   4.2,  13.6, 
   12,    15,   8.4,   4.5,   3.8,   7.6,   4.4,  13.4, 
   15,    19,   7.7,   5.9,   3.6,   7.3,   4.7,  13.5, 
   19,    25,  11.0,   9.0,   4.0,   7.1,   4.5,  17.0, 


