error summary
lower, upper, (I), (II), (III), (IV), (V), Total

    0,    10,  27.9,   3.3,   5.7,   8.9,  12.8,  32.5, 
   10,    20,  13.9,   3.4,   1.9,   8.4,   5.1,  17.3, 
   20,    30,   9.8,   4.5,   2.2,   8.2,   3.7,  14.1, 
   30,    40,   8.2,   5.4,   3.4,   8.6,   3.1,  13.6, 
   40,    50,   7.0,   5.9,   3.3,   8.5,   2.2,  12.9, 
   50,    60,   6.7,   5.6,   4.6,   8.3,   2.1,  13.0, 
   60,    70,   8.6,   5.4,   5.4,   7.8,   2.4,  14.2, 
   70,    90,  13.0,  10.8,   4.8,   8.2,   4.4,  20.0, 
   90,   110,   5.9,   6.3,   7.7,   7.6,   2.8,  14.4, 
  110,   140,   7.3,   7.8,   9.0,   8.0,   2.4,  16.4, 
  140,   180,   9.6,  11.9,  17.5,   8.1,   5.2,  25.2, 


