1 0.77 0.65 0.61 0.61 0.58 0.51 0.53 0.68 0.67 0.65 0.62 0.54 
0.77 1 0.74 0.73 0.72 0.70 0.65 0.65 0.76 0.71 0.70 0.67 0.61 
0.65 0.74 1 0.80 0.79 0.78 0.75 0.75 0.79 0.70 0.69 0.67 0.63 
0.61 0.73 0.80 1 0.84 0.83 0.80 0.79 0.82 0.72 0.73 0.71 0.65 
0.61 0.72 0.79 0.84 1 0.86 0.82 0.79 0.84 0.74 0.74 0.73 0.66 
0.58 0.70 0.78 0.83 0.86 1 0.82 0.79 0.83 0.72 0.72 0.70 0.64 
0.51 0.65 0.75 0.80 0.82 0.82 1 0.78 0.80 0.68 0.68 0.67 0.62 
0.53 0.65 0.75 0.79 0.79 0.79 0.78 1 0.77 0.67 0.67 0.65 0.59 
0.68 0.76 0.79 0.82 0.84 0.83 0.80 0.77 1 0.78 0.77 0.75 0.67 
0.67 0.71 0.70 0.72 0.74 0.72 0.68 0.67 0.78 1 0.75 0.73 0.65 
0.65 0.70 0.69 0.73 0.74 0.72 0.68 0.67 0.77 0.75 1 0.76 0.67 
0.62 0.67 0.67 0.71 0.73 0.70 0.67 0.65 0.75 0.73 0.76 1 0.66 
0.54 0.61 0.63 0.65 0.66 0.64 0.62 0.59 0.67 0.65 0.67 0.66 1 
