Theta_pi (Degrees),d_sigma/d_theta_pi (cm^2/Degree/C^12)*10^-39 neutrinos,statistical uncertainty,systematic uncertainty,d_sigma/d_theta_pi (cm^2/Degree/C^12)*10^-39 antineutrinos,statistical uncertainty,systematic uncertainty
0 - 5,0.114,0.012,0.015,0.068,0.014,0.012
5 - 10,0.133,0.011,0.018,0.120,0.015,0.015
10 - 15,0.115,0.009,0.014,0.088,0.012,0.013
15 - 20,0.109,0.008,0.011,0.091,0.011,0.010
20 - 25,0.073,0.006,0.010,0.072,0.013,0.013
25 - 30,0.054,0.005,0.008,0.039,0.012,0.009
30 - 35,0.042,0.005,0.008,0.031,0.013,0.010
35 - 40,0.027,0.004,0.008,0.019,0.011,0.009
40 - 45,0.018,0.004,0.006,0.011,0.006,0.009
45 - 50,0.005,0.003,0.004,-0.000,0.004,0.006
50 - 60,-0.005,0.002,0.006,-0.004,0.004,0.005
60 - 70,-0.008,0.002,0.005,-0.005,0.003,0.010
