Degrees,0 - 5,5 - 10,10 -15,15 - 20,20 - 25,25 - 30,30 - 35,35 - 40,40 - 45,45 - 50,50 - 60,60 - 70
0 - 5,0.0552,0.0801,0.0547,0.0661,0.0640,0.0369,0.0322,0.0227,0.0184,0.0014,-0.0006,0.0042
5 - 10,0.0801,0.1166,0.0797,0.0961,0.0932,0.0540,0.0470,0.0333,0.0269,0.0022,-0.0008,0.0061
10 -15,0.0547,0.0797,0.0547,0.0659,0.0641,0.0370,0.0323,0.0229,0.0187,0.0016,-0.0004,0.0043
15 - 20,0.0661,0.0961,0.0659,0.0796,0.0774,0.0446,0.0390,0.0277,0.0226,0.0019,-0.0005,0.0052
20 - 25,0.0640,0.0932,0.0641,0.0774,0.0760,0.0438,0.0385,0.0276,0.0228,0.0022,-0.0003,0.0052
25 - 30,0.0369,0.0540,0.0370,0.0446,0.0438,0.0255,0.0223,0.0160,0.0132,0.0013,-0.0001,0.0030
30 - 35,0.0322,0.0470,0.0323,0.0390,0.0385,0.0223,0.0196,0.0141,0.0117,0.0012,-0.0001,0.0027
35 - 40,0.0227,0.0333,0.0229,0.0277,0.0276,0.0160,0.0141,0.0102,0.0086,0.0010,0.0000,0.0019
40 - 45,0.0184,0.0269,0.0187,0.0226,0.0228,0.0132,0.0117,0.0086,0.0074,0.0009,0.0002,0.0017
45 - 50,0.0014,0.0022,0.0016,0.0019,0.0022,0.0013,0.0012,0.0010,0.0009,0.0002,0.0001,0.0002
50 - 60,-0.0006,-0.0008,-0.0004,-0.0005,-0.0003,-0.0001,-0.0001,0.0000,0.0002,0.0001,0.0001,0.0001
60 - 70,0.0042,0.0061,0.0043,0.0052,0.0052,0.0030,0.0027,0.0019,0.0017,0.0002,0.0001,0.0004
