GlobalBin Bin row_lo row_hi subrow_lo subrow_hi element_lo element_hi
1000 0 0.0 0.18 -1.0 -0.5 0.2 0.705
1001 1 0.18 0.3 -1.0 -0.5 0.2 0.705
1002 2 0.3 2.5 -1.0 -0.5 0.2 0.705
1003 3 0.0 0.18 -0.5 0.0 0.2 0.705
1004 4 0.18 0.3 -0.5 0.0 0.2 0.705
1005 5 0.3 2.5 -0.5 0.0 0.2 0.705
1006 6 0.0 0.18 0.0 0.27 0.2 0.705
1007 7 0.18 0.3 0.0 0.27 0.2 0.705
1008 8 0.3 0.45 0.0 0.27 0.2 0.705
1009 9 0.45 2.5 0.0 0.27 0.2 0.705
1010 10 0.0 0.3 0.27 0.45 0.2 0.705
1011 11 0.3 0.45 0.27 0.45 0.2 0.705
1012 12 0.45 2.5 0.27 0.45 0.2 0.705
1013 13 0.0 0.3 0.45 0.62 0.2 0.705
1014 14 0.3 0.45 0.45 0.62 0.2 0.705
1015 15 0.45 2.5 0.45 0.62 0.2 0.705
1016 16 0.0 0.3 0.62 0.76 0.2 0.705
1017 17 0.3 0.45 0.62 0.76 0.2 0.705
1018 18 0.45 2.5 0.62 0.76 0.2 0.705
1019 19 0.0 0.3 0.76 0.86 0.2 0.705
1020 20 0.3 0.45 0.76 0.86 0.2 0.705
1021 21 0.45 2.5 0.76 0.86 0.2 0.705
1022 22 0.0 0.3 0.86 0.94 0.2 0.705
1023 23 0.3 0.45 0.86 0.94 0.2 0.705
1024 24 0.45 2.5 0.86 0.94 0.2 0.705
1025 25 0.0 0.3 0.94 1.0 0.2 0.705
1026 26 0.3 0.45 0.94 1.0 0.2 0.705
1027 27 0.45 2.5 0.94 1.0 0.2 0.705
1028 28 0.0 0.18 -1.0 -0.5 0.705 1.05
1029 29 0.18 0.3 -1.0 -0.5 0.705 1.05
1030 30 0.3 2.5 -1.0 -0.5 0.705 1.05
1031 31 0.0 0.18 -0.5 0.0 0.705 1.05
1032 32 0.18 0.3 -0.5 0.0 0.705 1.05
1033 33 0.3 0.45 -0.5 0.0 0.705 1.05
1034 34 0.45 2.5 -0.5 0.0 0.705 1.05
1035 35 0.0 0.18 0.0 0.27 0.705 1.05
1036 36 0.18 0.3 0.0 0.27 0.705 1.05
1037 37 0.3 0.45 0.0 0.27 0.705 1.05
1038 38 0.45 2.5 0.0 0.27 0.705 1.05
1039 39 0.0 0.3 0.27 0.45 0.705 1.05
1040 40 0.3 0.45 0.27 0.45 0.705 1.05
1041 41 0.45 2.5 0.27 0.45 0.705 1.05
1042 42 0.0 0.3 0.45 0.62 0.705 1.05
1043 43 0.3 0.45 0.45 0.62 0.705 1.05
1044 44 0.45 2.5 0.45 0.62 0.705 1.05
1045 45 0.0 0.3 0.62 0.76 0.705 1.05
1046 46 0.3 0.45 0.62 0.76 0.705 1.05
1047 47 0.45 0.61 0.62 0.76 0.705 1.05
1048 48 0.61 0.77 0.62 0.76 0.705 1.05
1049 49 0.77 2.5 0.62 0.76 0.705 1.05
1050 50 0.0 0.3 0.76 0.86 0.705 1.05
1051 51 0.3 0.45 0.76 0.86 0.705 1.05
1052 52 0.45 0.61 0.76 0.86 0.705 1.05
1053 53 0.61 0.77 0.76 0.86 0.705 1.05
1054 54 0.77 2.5 0.76 0.86 0.705 1.05
1055 55 0.0 0.3 0.86 0.94 0.705 1.05
1056 56 0.3 0.45 0.86 0.94 0.705 1.05
1057 57 0.45 0.61 0.86 0.94 0.705 1.05
1058 58 0.61 0.77 0.86 0.94 0.705 1.05
1059 59 0.77 2.5 0.86 0.94 0.705 1.05
1060 60 0.0 0.45 0.94 1.0 0.705 1.05
1061 61 0.45 0.77 0.94 1.0 0.705 1.05
1062 62 0.77 2.5 0.94 1.0 0.705 1.05
1063 63 0.0 0.18 -1.0 -0.5 1.05 1.57
1064 64 0.18 0.3 -1.0 -0.5 1.05 1.57
1065 65 0.3 2.5 -1.0 -0.5 1.05 1.57
1066 66 0.0 0.18 -0.5 0.0 1.05 1.57
1067 67 0.18 0.3 -0.5 0.0 1.05 1.57
1068 68 0.3 0.45 -0.5 0.0 1.05 1.57
1069 69 0.45 2.5 -0.5 0.0 1.05 1.57
1070 70 0.0 0.18 0.0 0.27 1.05 1.57
1071 71 0.18 0.3 0.0 0.27 1.05 1.57
1072 72 0.3 0.45 0.0 0.27 1.05 1.57
1073 73 0.45 2.5 0.0 0.27 1.05 1.57
1074 74 0.0 0.3 0.27 0.45 1.05 1.57
1075 75 0.3 0.45 0.27 0.45 1.05 1.57
1076 76 0.45 2.5 0.27 0.45 1.05 1.57
1077 77 0.0 0.3 0.45 0.62 1.05 1.57
1078 78 0.3 0.45 0.45 0.62 1.05 1.57
1079 79 0.45 0.61 0.45 0.62 1.05 1.57
1080 80 0.61 0.77 0.45 0.62 1.05 1.57
1081 81 0.77 2.5 0.45 0.62 1.05 1.57
1082 82 0.0 0.3 0.62 0.76 1.05 1.57
1083 83 0.3 0.45 0.62 0.76 1.05 1.57
1084 84 0.45 0.61 0.62 0.76 1.05 1.57
1085 85 0.61 0.77 0.62 0.76 1.05 1.57
1086 86 0.77 0.97 0.62 0.76 1.05 1.57
1087 87 0.97 2.5 0.62 0.76 1.05 1.57
1088 88 0.0 0.3 0.76 0.86 1.05 1.57
1089 89 0.3 0.45 0.76 0.86 1.05 1.57
1090 90 0.45 0.61 0.76 0.86 1.05 1.57
1091 91 0.61 0.77 0.76 0.86 1.05 1.57
1092 92 0.77 0.97 0.76 0.86 1.05 1.57
1093 93 0.97 2.5 0.76 0.86 1.05 1.57
1094 94 0.0 0.3 0.86 0.94 1.05 1.57
1095 95 0.3 0.45 0.86 0.94 1.05 1.57
1096 96 0.45 0.77 0.86 0.94 1.05 1.57
1097 97 0.77 0.97 0.86 0.94 1.05 1.57
1098 98 0.97 1.28 0.86 0.94 1.05 1.57
1099 99 1.28 2.5 0.86 0.94 1.05 1.57
1100 100 0.0 0.45 0.94 1.0 1.05 1.57
1101 101 0.45 0.77 0.94 1.0 1.05 1.57
1102 102 0.77 0.97 0.94 1.0 1.05 1.57
1103 103 0.97 1.28 0.94 1.0 1.05 1.57
1104 104 1.28 2.5 0.94 1.0 1.05 1.57
1105 105 0.0 0.18 -1.0 -0.5 1.57 4.0
1106 106 0.18 0.3 -1.0 -0.5 1.57 4.0
1107 107 0.3 2.5 -1.0 -0.5 1.57 4.0
1108 108 0.0 0.18 -0.5 0.0 1.57 4.0
1109 109 0.18 0.3 -0.5 0.0 1.57 4.0
1110 110 0.3 0.45 -0.5 0.0 1.57 4.0
1111 111 0.45 2.5 -0.5 0.0 1.57 4.0
1112 112 0.0 0.3 0.0 0.27 1.57 4.0
1113 113 0.3 0.45 0.0 0.27 1.57 4.0
1114 114 0.45 2.5 0.0 0.27 1.57 4.0
1115 115 0.0 0.3 0.27 0.45 1.57 4.0
1116 116 0.3 0.45 0.27 0.45 1.57 4.0
1117 117 0.45 2.5 0.27 0.45 1.57 4.0
1118 118 0.0 0.3 0.45 0.62 1.57 4.0
1119 119 0.3 0.45 0.45 0.62 1.57 4.0
1120 120 0.45 0.77 0.45 0.62 1.57 4.0
1121 121 0.77 2.5 0.45 0.62 1.57 4.0
1122 122 0.0 0.3 0.62 0.76 1.57 4.0
1123 123 0.3 0.45 0.62 0.76 1.57 4.0
1124 124 0.45 0.77 0.62 0.76 1.57 4.0
1125 125 0.77 2.5 0.62 0.76 1.57 4.0
1126 126 0.0 0.45 0.76 0.86 1.57 4.0
1127 127 0.45 0.77 0.76 0.86 1.57 4.0
1128 128 0.77 2.5 0.76 0.86 1.57 4.0
1129 129 0.0 0.45 0.86 0.94 1.57 4.0
1130 130 0.45 0.77 0.86 0.94 1.57 4.0
1131 131 0.77 1.28 0.86 0.94 1.57 4.0
1132 132 1.28 2.5 0.86 0.94 1.57 4.0
1133 133 0.0 0.77 0.94 1.0 1.57 4.0
1134 134 0.77 0.97 0.94 1.0 1.57 4.0
1135 135 0.97 1.28 0.94 1.0 1.57 4.0
1136 136 1.28 1.6 0.94 1.0 1.57 4.0
1137 137 1.6 2.5 0.94 1.0 1.57 4.0
