GlobalBin    Bin    row_lo    row_hi    subrow_lo    subrow_hi    element_lo    element_hi
0     0     -1000     -1000     0   1   0.106     0.226
1     1     -1000     -1000     0   1   0.226     0.296
2     2     -1000     -1000     0   1   0.296     0.386
3     3     -1000     -1000     0   1   0.386     0.505
4     4     -1000     -1000     0   1   0.505     0.577
5     5     -1000     -1000     0   1   0.577     0.659
6     6     -1000     -1000     0   1   0.659     0.753
7     7     -1000     -1000     0   1   0.753     0.861
8     8     -1000     -1000     0   1   0.861     0.984
9     9     -1000     -1000     0   1   0.984     1.285
10     10     -1000     -1000   0   1     1.285     2.506
11     11     -1000     -1000     1     2     0.106     0.226
12     12     -1000     -1000     1     2     0.226     0.296
13     13     -1000     -1000     1     2     0.296     0.386
14     14     -1000     -1000     1     2     0.386     0.505
15     15     -1000     -1000     1     2     0.505     0.577
16     16     -1000     -1000     1     2     0.577     0.659
17     17     -1000     -1000     1     2     0.659     0.753
18     18     -1000     -1000     1     2     0.753     0.861
19     19     -1000     -1000     1     2     0.861     0.984
20     20     -1000     -1000     1     2     0.984     1.285
21     21     -1000     -1000     1     2     1.285     2.506
22     0     -1000     -1000     0    1    -1     -0.6
23     1     -1000     -1000     0    1    -0.6     -0.5
24     2     -1000     -1000     0    1    -0.5     -0.4
25     3     -1000     -1000     0    1    -0.4     -0.3
26     4     -1000     -1000     0    1    -0.3     -0.2
27     5     -1000     -1000     0    1    -0.2     -0.1
28     6     -1000     -1000     0    1    -0.1     0
29     7     -1000     -1000     0    1    0     0.1
30     8     -1000     -1000     0    1    0.1     0.2
31     9     -1000     -1000     0    1    0.2     0.3
32     10     -1000     -1000    0    1     0.3     0.4
33     11     -1000     -1000    0    1     0.4     0.5
34     12     -1000     -1000    0    1     0.5     0.6
35     13     -1000     -1000    0    1     0.6     0.7
36     14     -1000     -1000    0    1     0.7     0.8
37     15     -1000     -1000    0    1     0.8     0.9
38     16     -1000     -1000    0    1     0.9     1
39     17     -1000     -1000     1     2     -1     -0.6
40     18     -1000     -1000     1     2     -0.6     -0.5
41     19     -1000     -1000     1     2     -0.5     -0.4
42     20     -1000     -1000     1     2     -0.4     -0.3
43     21     -1000     -1000     1     2     -0.3     -0.2
44     22     -1000     -1000     1     2     -0.2     -0.1
45     23     -1000     -1000     1     2     -0.1     0
46     24     -1000     -1000     1     2     0     0.1
47     25     -1000     -1000     1     2     0.1     0.2
48     26     -1000     -1000     1     2     0.2     0.3
49     27     -1000     -1000     1     2     0.3     0.4
50     28     -1000     -1000     1     2     0.4     0.5
51     29     -1000     -1000     1     2     0.5     0.6
52     30     -1000     -1000     1     2     0.6     0.7
53     31     -1000     -1000     1     2     0.7     0.8
54     32     -1000     -1000     1     2     0.8     0.9
55     33     -1000     -1000     1     2     0.9     1
56     0     -1000     -1000     0     1     0.2     0.54
57     1     -1000     -1000     0     1     0.54     0.705
58     2     -1000     -1000     0     1     0.705     0.805
59     3     -1000     -1000     0     1     0.805     0.92
60     4     -1000     -1000     0     1     0.92     1.05
61     5     -1000     -1000     0     1     1.05     1.2
62     6     -1000     -1000     0     1     1.2     1.375
63     7     -1000     -1000     0     1     1.375     1.57
64     8     -1000     -1000     0     1     1.57     2.05
65     9     -1000     -1000     0     1     2.05     4.0
66     10     -1000     -1000     1     2     0.2     0.54
67     11     -1000     -1000     1     2     0.54     0.705
68     12     -1000     -1000     1     2     0.705     0.805
69     13     -1000     -1000     1     2     0.805     0.92
70     14     -1000     -1000     1     2     0.92     1.05
71     15     -1000     -1000     1     2     1.05     1.2
72     16     -1000     -1000     1     2     1.2     1.375
73     17     -1000     -1000     1     2     1.375     1.57
74     18     -1000     -1000     1     2     1.57     2.05
75     19     -1000     -1000     1     2     2.05     4.0
76     0     -1000     -1000     0     1     0     0.3
77     1     -1000     -1000     0     1     0.3     0.7
78     2     -1000     -1000     0     1     0.7     2.5
79     3     -1000     -1000     1     2     0     0.12
80     4     -1000     -1000     1     2     0.12     0.275
81     5     -1000     -1000     1     2     0.275     0.4
82     6     -1000     -1000     1     2     0.4     0.6
83     7     -1000     -1000     1     2     0.6     1.0
84     8     -1000     -1000     1     2     1.0     2.5
85     0     -1000     -1000     0     1     0     0.3
86     1     -1000     -1000     0     1     0.3     0.4
87     2     -1000     -1000     0     1     0.4     0.5
88     3     -1000     -1000     0     1     0.5     1.0
89     4     -1000     -1000     0     1     1.0     2.5
90     5     -1000     -1000     1    2    0     0.3
91     6     -1000     -1000     1    2    0.3     0.4
92     7     -1000     -1000     1    2    0.4     0.5
93     8     -1000     -1000     1    2    0.5     0.6
94     9     -1000     -1000     1    2    0.6     0.7
95     10     -1000     -1000    1    2     0.7     0.8
96     11     -1000     -1000    1    2     0.8     1.0
97     12     -1000     -1000    1    2     1.0     1.3
98     13     -1000     -1000    1    2     1.3     2.5
99     0     -1000     -1000     -1000     -1000     0     0.035
100     1     -1000     -1000     -1000     -1000     0.035     0.105
101     2     -1000     -1000     -1000     -1000     0.105     0.1225
102     3     -1000     -1000     -1000     -1000     0.1225     0.14
103     4     -1000     -1000     -1000     -1000     0.14     0.1575
104     5     -1000     -1000     -1000     -1000     0.1575     0.175
105     6     -1000     -1000     -1000     -1000     0.175     0.1925
106     7     -1000     -1000     -1000     -1000     0.1925     0.21
107     8     -1000     -1000     -1000     -1000     0.21     0.245
108     9     -1000     -1000     -1000     -1000     0.245     0.28
109     10     -1000     -1000     -1000     -1000     0.28     0.315
110     11     -1000     -1000     -1000     -1000     0.315     0.35
111     12     -1000     -1000     -1000     -1000     0.35     0.42
112     13     -1000     -1000     -1000     -1000     0.42     0.525
113     14     -1000     -1000     -1000     -1000     0.525     0.8
114     0     -1000     -1000     -1000     -1000     -1     -0.9
115     1     -1000     -1000     -1000     -1000     -0.9     -0.8
116     2     -1000     -1000     -1000     -1000     -0.8     -0.7
117     3     -1000     -1000     -1000     -1000     -0.7     -0.6
118     4     -1000     -1000     -1000     -1000     -0.6     -0.5
119     5     -1000     -1000     -1000     -1000     -0.5     -0.4
120     6     -1000     -1000     -1000     -1000     -0.4     -0.3
121     7     -1000     -1000     -1000     -1000     -0.3     -0.2
122     8     -1000     -1000     -1000     -1000     -0.2     -0.1
123     9     -1000     -1000     -1000     -1000     -0.1     0
124     10     -1000     -1000     -1000     -1000     0     0.1
125     11     -1000     -1000     -1000     -1000     0.1     0.2
126     12     -1000     -1000     -1000     -1000     0.2     0.3
127     13     -1000     -1000     -1000     -1000     0.3     0.4
128     14     -1000     -1000     -1000     -1000     0.4     0.5
129     15     -1000     -1000     -1000     -1000     0.5     0.6
130     16     -1000     -1000     -1000     -1000     0.6     0.7
131     17     -1000     -1000     -1000     -1000     0.7     0.8
132     18     -1000     -1000     -1000     -1000     0.8     0.9
133     19     -1000     -1000     -1000     -1000     0.9     1
134     0     -1000     -1000     -1000     -1000     0     1
135     1     -1000     -1000     -1000     -1000     1     2
136     2     -1000     -1000     -1000     -1000     2     3
137     3     -1000     -1000     -1000     -1000     3     4
138     0     0    1    -1     -0.5     0.106     0.226
139     1     0    1    -1     -0.5     0.226     0.296
140     2     0    1    -1     -0.5     0.296     2.506
141     3     0    1    -0.5     0     0.106     0.226
142     4     0    1    -0.5     0     0.226     0.296
143     5     0    1    -0.5     0     0.296     0.386
144     6     0    1    -0.5     0     0.386     2.506
145     7     0    1    0     0.3     0.106     0.226
146     8     0    1    0     0.3     0.226     0.296
147     9     0    1    0     0.3     0.296     0.386
148     10    0    1     0     0.3     0.386     2.506
149     11    0    1     0.3     0.5     0.106     0.226
150     12    0    1     0.3     0.5     0.226     0.296
151     13    0    1     0.3     0.5     0.296     0.386
152     14    0    1     0.3     0.5     0.386     0.505
153     15    0    1     0.3     0.5     0.505     0.577
154     16    0    1     0.3     0.5     0.577     2.506
155     17    0    1     0.5     0.7     0.106     0.226
156     18    0    1     0.5     0.7     0.226     0.296
157     19    0    1     0.5     0.7     0.296     0.386
158     20    0    1     0.5     0.7     0.386     0.505
159     21    0    1     0.5     0.7     0.505     0.577
160     22    0    1     0.5     0.7     0.577     0.659
161     23    0    1     0.5     0.7     0.659     0.753
162     24    0    1     0.5     0.7     0.753     0.861
163     25    0    1     0.5     0.7     0.861     2.506
164     26    0    1     0.7     0.8     0.106     0.296
165     27    0    1     0.7     0.8     0.296     0.386
