GlobalBin    Bin    row_lo    row_hi    subrow_lo    subrow_hi    element_lo    element_hi
2000       0      -1000      -1000      -1000      -1000      0.0      0.15
2001       1      -1000      -1000      -1000      -1000      0.15     0.21
2002       2      -1000      -1000      -1000      -1000      0.21     0.3
2003       3      -1000      -1000      -1000      -1000      0.3      0.42
2004       4      -1000      -1000      -1000      -1000      0.42     0.6
2005       5      -1000      -1000      -1000      -1000      0.6      1.2
2006       6      -1000      -1000      -1000      -1000      0.0      0.12
2007       7      -1000      -1000      -1000      -1000      0.12     0.18
2008       8      -1000      -1000      -1000      -1000      0.18     0.3
2009       9      -1000      -1000      -1000      -1000      0.3      0.42
2010      10     -1000      -1000      -1000      -1000      0.42     0.6
2011      11     -1000      -1000      -1000      -1000      0.6      1.2
2012      0      -1000      -1000      -1000      -1000      0.0      0.12
2013      1      -1000      -1000      -1000      -1000      0.12     0.18
2014      2      -1000      -1000      -1000      -1000      0.18     0.24
2015      3      -1000      -1000      -1000      -1000      0.24     0.3
2016      4      -1000      -1000      -1000      -1000      0.3      0.36
2017      5      -1000      -1000      -1000      -1000      0.36     0.42
2018      6      -1000      -1000      -1000      -1000      0.42     0.51
2019      7      -1000      -1000      -1000      -1000      0.51     0.66
2020      8      -1000      -1000      -1000      -1000      0.66     1.2
2021      0      -1000      -1000      -1000      -1000      -1       0.0
2022      1      -1000      -1000      -1000      -1000      0.0      0.3
2023      2      -1000      -1000      -1000      -1000      0.3      0.5
2024      3      -1000      -1000      -1000      -1000      0.5      0.6
2025      4      -1000      -1000      -1000      -1000      0.6      0.7
2026      5      -1000      -1000      -1000      -1000      0.7      0.8
2027      6      -1000      -1000      -1000      -1000      0.8      0.9
2028      7      -1000      -1000      -1000      -1000      0.9      1.0
2029      8      -1000      -1000      -1000      -1000      -1       -0.6
2030      9      -1000      -1000      -1000      -1000      -0.6     -0.4
2031      10     -1000      -1000      -1000      -1000      -0.4     -0.2
2032      11     -1000      -1000      -1000      -1000      -0.2     -0.1
2033      12     -1000      -1000      -1000      -1000      -0.1     0.0
2034      13     -1000      -1000      -1000      -1000      0.0      0.1
2035      14     -1000      -1000      -1000      -1000      0.1      0.2
2036      15     -1000      -1000      -1000      -1000      0.2      0.3
2037      16     -1000      -1000      -1000      -1000      0.3      0.4
2038      17     -1000      -1000      -1000      -1000      0.4      0.5
2039      18     -1000      -1000      -1000      -1000      0.5      0.6
2040      19     -1000      -1000      -1000      -1000      0.6      0.7
2041      20     -1000      -1000      -1000      -1000      0.7      0.8
2042      21     -1000      -1000      -1000      -1000      0.8      0.9
2043      22     -1000      -1000      -1000      -1000      0.9      1.0
2044      0      -1000      -1000      -1000      -1000      -1       -0.8
2045      1      -1000      -1000      -1000      -1000      -0.8     -0.6
2046      2      -1000      -1000      -1000      -1000      -0.6     -0.4
2047      3      -1000      -1000      -1000      -1000      -0.4     -0.3
2048      4      -1000      -1000      -1000      -1000      -0.3     -0.2
2049      5      -1000      -1000      -1000      -1000      -0.2     -0.1
2050      6      -1000      -1000      -1000      -1000      -0.1     0.0
2051      7      -1000      -1000      -1000      -1000      0.0      0.1
2052      8      -1000      -1000      -1000      -1000      0.1      0.2
2053      9      -1000      -1000      -1000      -1000      0.2      0.3
2054      10     -1000      -1000      -1000      -1000      0.3      0.4
2055      11     -1000      -1000      -1000      -1000      0.4      0.5
2056      12     -1000      -1000      -1000      -1000      0.5      0.6
2057      13     -1000      -1000      -1000      -1000      0.6      0.7
2058      14     -1000      -1000      -1000      -1000      0.7      0.8
2059      15     -1000      -1000      -1000      -1000      0.8      0.9
2060      16     -1000      -1000      -1000      -1000      0.9      1.0
2061      0      -1000      -1000      -1.0       0.0        0.0      0.15
2062      1      -1000      -1000      -1.0       0.0        0.15     0.21
2063      2      -1000      -1000      -1.0       0.0        0.21     0.3
2064      3      -1000      -1000      -1.0       0.0        0.3      1.2
2065      4      -1000      -1000      0.0        0.5        0.0      0.15
2066      5      -1000      -1000      0.0        0.5        0.15     0.24
2067      6      -1000      -1000      0.0        0.5        0.24     0.33
2068      7      -1000      -1000      0.0        0.5        0.33     0.42
2069      8      -1000      -1000      0.0        0.5        0.42     1.2
2070      9      -1000      -1000      0.5        0.85       0.0      0.12
2071      10      -1000      -1000     0.5        0.85       0.12     0.18
2072      11      -1000      -1000     0.5        0.85       0.18     0.24
2073      12      -1000      -1000     0.5        0.85       0.24     0.3
2074      13      -1000      -1000     0.5        0.85       0.3      0.36
2075      14      -1000      -1000     0.5        0.85       0.36     0.42
2076      15      -1000      -1000     0.5        0.85       0.42     0.54
2077      16      -1000      -1000     0.5        0.85       0.54     1.2
2078      17      -1000      -1000     0.85       1.0        0.0      0.15
2079      18      -1000      -1000     0.85       1.0        0.15     0.24
2080      19      -1000      -1000     0.85       1.0        0.24     0.33
2081      20      -1000      -1000     0.85       1.0        0.33     0.42
2082      21      -1000      -1000     0.85       1.0        0.42     0.51
2083      22      -1000      -1000     0.85       1.0        0.51     0.66
2084      23      -1000      -1000     0.85       1.0        0.66     1.2
end

