0.057	0.037	0.049	0.066	0.071	0.104	0.107	0.156	0.204	0.327
0.037	0.058	0.055	0.066	0.086	0.109	0.138	0.183	0.238	0.365
0.049	0.055	0.090	0.083	0.104	0.135	0.172	0.223	0.308	0.446
0.066	0.066	0.083	0.141	0.140	0.180	0.206	0.284	0.371	0.590
0.071	0.086	0.104	0.140	0.252	0.229	0.304	0.375	0.480	0.751
0.104	0.109	0.135	0.180	0.229	0.395	0.382	0.504	0.655	1.007
0.107	0.138	0.172	0.206	0.304	0.382	0.699	0.680	0.902	1.260
0.156	0.183	0.223	0.284	0.375	0.504	0.680	1.308	1.161	1.717
0.204	0.238	0.308	0.371	0.480	0.655	0.902	1.161	2.297	2.381
0.327	0.365	0.446	0.590	0.751	1.007	1.260	1.717	2.381	5.037
