0.630	1.847	1.530	1.112	0.829	0.786	0.697	0.307	0.173	0.060
1.847	7.330	6.384	4.758	3.508	3.218	2.702	1.314	0.691	0.217
1.530	6.384	7.423	6.010	4.488	3.823	3.192	2.140	1.051	0.284
1.112	4.758	6.010	5.812	4.319	3.261	2.580	2.004	0.968	0.246
0.829	3.508	4.488	4.319	3.926	2.984	2.373	1.784	0.924	0.233
0.786	3.218	3.823	3.261	2.984	2.913	2.478	1.594	0.888	0.234
0.697	2.702	3.192	2.580	2.373	2.478	2.454	1.554	0.859	0.231
0.307	1.314	2.140	2.004	1.784	1.594	1.554	1.497	0.792	0.204
0.173	0.691	1.051	0.968	0.924	0.888	0.859	0.792	0.524	0.149
0.060	0.217	0.284	0.246	0.233	0.234	0.231	0.204	0.149	0.057
