0.617	1.753	1.468	1.082	0.831	0.782	0.676	0.339	0.173	0.049
1.753	7.421	6.348	4.745	3.621	3.236	2.705	1.423	0.698	0.187
1.468	6.348	7.440	6.087	4.581	3.830	3.129	2.069	0.964	0.232
1.082	4.745	6.087	6.013	4.470	3.385	2.653	1.966	0.908	0.207
0.831	3.621	4.581	4.470	4.110	3.141	2.427	1.712	0.827	0.190
0.782	3.236	3.830	3.385	3.141	2.975	2.439	1.480	0.743	0.179
0.676	2.705	3.129	2.653	2.427	2.439	2.413	1.421	0.698	0.173
0.339	1.423	2.069	1.966	1.712	1.480	1.421	1.264	0.604	0.137
0.173	0.698	0.964	0.908	0.827	0.743	0.698	0.604	0.373	0.089
0.049	0.187	0.232	0.207	0.190	0.179	0.173	0.137	0.089	0.032
