# CCQE true
# Built from:
#  https://www-boone.fnal.gov/for_physicists/data_release/ccqe/asne_bin.txt
#  https://www-boone.fnal.gov/for_physicists/data_release/ccqe/asne_con.txt
#  https://www-boone.fnal.gov/for_physicists/data_release/ccqe/asne_ter.txt
# BinLowEdge XSec/nucleon TotErr ShapeErr
0.4 7.985E-39 1.997E-39 1.997E-39
0.45 8.261E-39 1.532E-39 1.455E-39
0.5 8.809E-39 1.33E-39 1.169E-39
0.55 9.53E-39 1.209E-39 9.537E-40
0.6 1.013E-38 1.124E-39 7.575E-40
0.65 1.071E-38 1.089E-39 6E-40
0.7 1.111E-38 1.065E-39 4.496E-40
0.75 1.155E-38 1.078E-39 3.151E-40
0.8 1.202E-38 1.129E-39 1.954E-40
0.9 1.23E-38 1.217E-39 2.714E-40
1 1.258E-38 1.359E-39 4.952E-40
1.1 1.258E-38 1.662E-39 9.122E-40
1.3 1.278E-38 2.116E-39 1.417E-39
1.5 1.236E-38 2.613E-39 1.991E-39
2 0 0 0 0
