MiniBooNE nubar mode flux
Based on december2007_horn-174ka_rgen610.6_flux.root
Elo: Lower bin edge in GeV
Ehi: Upper bin edge in GeV
numu flux    (numu/cm^2/proton-on-target/50 MeV)
numubar flux (numubar/cm^2/proton-on-target/50 MeV)
nue flux     (nue/cm^2/proton-on-target/50 MeV)
nuebar flux  (nuebar/cm^2/proton-on-target/50 MeV)
  Elo   Ehi       numu      numub        nue       nueb
 0.00  0.05  2.298e-12  2.157e-12  6.084e-15  1.233e-14
 0.05  0.10  5.903e-12  7.840e-12  1.847e-14  4.476e-14
 0.10  0.15  3.726e-12  9.731e-12  7.452e-14  6.802e-14
 0.15  0.20  2.338e-12  1.141e-11  5.308e-14  7.441e-14
 0.20  0.25  2.570e-12  1.319e-11  2.186e-14  7.213e-14
 0.25  0.30  1.797e-12  1.438e-11  2.268e-14  7.111e-14
 0.30  0.35  1.776e-12  1.477e-11  2.355e-14  6.777e-14
 0.35  0.40  1.855e-12  1.479e-11  2.347e-14  6.465e-14
 0.40  0.45  1.834e-12  1.500e-11  2.206e-14  6.019e-14
 0.45  0.50  1.770e-12  1.485e-11  2.200e-14  5.610e-14
 0.50  0.55  1.701e-12  1.447e-11  2.075e-14  5.148e-14
 0.55  0.60  1.618e-12  1.406e-11  2.044e-14  4.753e-14
 0.60  0.65  1.555e-12  1.345e-11  1.875e-14  4.336e-14
 0.65  0.70  1.493e-12  1.287e-11  1.785e-14  4.109e-14
 0.70  0.75  1.425e-12  1.221e-11  1.602e-14  3.785e-14
 0.75  0.80  1.357e-12  1.152e-11  1.481e-14  3.469e-14
 0.80  0.85  1.302e-12  1.075e-11  1.370e-14  3.208e-14
 0.85  0.90  1.236e-12  9.980e-12  1.336e-14  2.943e-14
 0.90  0.95  1.192e-12  9.177e-12  1.298e-14  2.751e-14
 0.95  1.00  1.141e-12  8.411e-12  1.198e-14  2.504e-14
 1.00  1.05  1.087e-12  7.658e-12  1.153e-14  2.296e-14
 1.05  1.10  1.044e-12  6.907e-12  1.082e-14  2.160e-14
 1.10  1.15  9.967e-13  6.180e-12  1.034e-14  1.991e-14
 1.15  1.20  9.435e-13  5.505e-12  9.538e-15  1.836e-14
 1.20  1.25  8.826e-13  4.877e-12  9.357e-15  1.672e-14
