****************************************************************************************************
This file includes true energy spectra and migration matrices for the neutral current elastic sample
with the reconstructed energy from 40 to 650 MeV and flat fiducial volume cut R < 4.2m.
****************************************************************************************************

Table 1. True nucleon kinetic energy spectra before any cuts for different possible signal events. Histograms have 51 bins from   0.0 MeV to 900.0 MeV with the last overflow bin.
===========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
      energy range(MeV)|   0.0<Ttrue< 18.0  18.0<Ttrue< 36.0  36.0<Ttrue< 54.0  54.0<Ttrue< 72.0  72.0<Ttrue< 90.0  90.0<Ttrue<108.0 108.0<Ttrue<126.0 126.0<Ttrue<144.0 144.0<Ttrue<162.0 162.0<Ttrue<180.0 180.0<Ttrue<198.0 198.0<Ttrue<216.0 216.0<Ttrue<234.0 234.0<Ttrue<252.0 252.0<Ttrue<270.0 270.0<Ttrue<288.0 288.0<Ttrue<306.0 306.0<Ttrue<324.0 324.0<Ttrue<342.0 342.0<Ttrue<360.0 360.0<Ttrue<378.0 378.0<Ttrue<396.0 396.0<Ttrue<414.0 414.0<Ttrue<432.0 432.0<Ttrue<450.0 450.0<Ttrue<468.0 468.0<Ttrue<486.0 486.0<Ttrue<504.0 504.0<Ttrue<522.0 522.0<Ttrue<540.0 540.0<Ttrue<558.0 558.0<Ttrue<576.0 576.0<Ttrue<594.0 594.0<Ttrue<612.0 612.0<Ttrue<630.0 630.0<Ttrue<648.0 648.0<Ttrue<666.0 666.0<Ttrue<684.0 684.0<Ttrue<702.0 702.0<Ttrue<720.0 720.0<Ttrue<738.0 738.0<Ttrue<756.0 756.0<Ttrue<774.0 774.0<Ttrue<792.0 792.0<Ttrue<810.0 810.0<Ttrue<828.0 828.0<Ttrue<846.0 846.0<Ttrue<864.0 864.0<Ttrue<882.0 882.0<Ttrue<900.0    Ttrue>900.0
Event type             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Hydrogen proton        |  3.138662e+03      3.081133e+03      2.869589e+03      2.713920e+03      2.532245e+03      2.288389e+03      2.134654e+03      1.960894e+03      1.798032e+03      1.633038e+03      1.499872e+03      1.386431e+03      1.222234e+03      1.116757e+03      1.030449e+03      9.164767e+02      8.324685e+02      7.762141e+02      6.856439e+02      6.329878e+02      5.805249e+02      5.218814e+02      4.739524e+02      4.321079e+02      3.920434e+02      3.477898e+02      3.322252e+02      2.954697e+02      2.808081e+02      2.533338e+02      2.361919e+02      1.946749e+02      1.884613e+02      1.738771e+02      1.691662e+02      1.525004e+02      1.329571e+02      1.222429e+02      1.118041e+02      1.096724e+02      9.151640e+01      8.803948e+01      8.208736e+01      7.496981e+01      6.074189e+01      5.707333e+01      5.285598e+01      5.354655e+01      4.725520e+01      4.154581e+01      4.785472e+02    
Carbon single proton   |  1.675701e+02      8.098403e+02      3.047469e+03      5.130567e+03      4.949268e+03      4.585518e+03      4.331364e+03      4.020870e+03      3.718576e+03      3.410691e+03      3.153885e+03      2.909659e+03      2.617206e+03      2.421945e+03      2.232675e+03      2.020040e+03      1.886884e+03      1.715566e+03      1.560001e+03      1.414367e+03      1.305092e+03      1.211561e+03      1.085926e+03      9.755790e+02      9.235047e+02      8.186465e+02      7.557241e+02      6.980922e+02      6.200178e+02      5.726382e+02      4.975911e+02      4.451322e+02      4.281218e+02      3.862614e+02      3.515789e+02      3.136873e+02      2.873914e+02      2.706028e+02      2.374060e+02      2.124622e+02      1.904304e+02      1.819805e+02      1.716356e+02      1.519906e+02      1.316631e+02      1.133692e+02      1.098476e+02      1.054493e+02      9.128040e+01      7.557614e+01      8.753286e+02    
Carbon multiple proton |  9.148649e+00      2.031866e+02      1.042925e+03      1.455655e+03      1.541756e+03      1.437216e+03      1.427251e+03      1.309980e+03      1.238322e+03      1.167153e+03      1.070243e+03      1.006994e+03      9.217366e+02      8.584379e+02      8.041603e+02      7.746155e+02      6.770400e+02      6.505264e+02      6.028705e+02      5.673908e+02      5.015472e+02      4.690934e+02      4.357421e+02      4.060901e+02      3.991974e+02      3.508821e+02      3.222615e+02      3.079930e+02      2.887791e+02      2.734063e+02      2.430899e+02      2.333361e+02      2.148509e+02      2.044503e+02      1.862428e+02      1.823670e+02      1.644762e+02      1.508177e+02      1.439025e+02      1.408064e+02      1.286010e+02      1.221366e+02      1.107122e+02      1.084531e+02      1.014206e+02      9.878057e+01      8.657880e+01      8.768431e+01      7.767562e+01      7.894873e+01      1.635561e+03    
Carbon neutron         |  2.064080e+02      1.281010e+03      5.416415e+03      8.618813e+03      8.308982e+03      7.693158e+03      7.105292e+03      6.528467e+03      5.984688e+03      5.545002e+03      5.076056e+03      4.629891e+03      4.295972e+03      3.881830e+03      3.599605e+03      3.281343e+03      3.031922e+03      2.791437e+03      2.524606e+03      2.335338e+03      2.143678e+03      1.948664e+03      1.820353e+03      1.648864e+03      1.514170e+03      1.367750e+03      1.251515e+03      1.162005e+03      1.066637e+03      9.713312e+02      8.763621e+02      7.923527e+02      7.436187e+02      6.753815e+02      6.309045e+02      5.622416e+02      5.290306e+02      4.728869e+02      4.534008e+02      4.069138e+02      3.786674e+02      3.324744e+02      2.992065e+02      2.909511e+02      2.760669e+02      2.478519e+02      2.263203e+02      2.102643e+02      1.952145e+02      1.813601e+02      2.746875e+03    
Irreducible            |  0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      1.364424e+00      4.705236e+00      1.758978e+01      3.496415e+01      6.816501e+01      1.368511e+02      2.066710e+02      3.374507e+02      5.005924e+02      6.672170e+02      8.545720e+02      1.014480e+03      1.165838e+03      1.241060e+03      1.300197e+03      1.349314e+03      1.328437e+03      1.331230e+03      1.305422e+03      1.274116e+03      1.217948e+03      1.147513e+03      1.085130e+03      1.029805e+03      1.012486e+03      9.418484e+02      8.868173e+02      8.388830e+02      7.663445e+02      7.245175e+02      6.952694e+02      6.376685e+02      6.139051e+02      5.547155e+02      5.363876e+02      4.934474e+02      4.632671e+02      4.293046e+02      4.191864e+02      3.713735e+02      3.634909e+02      3.295256e+02      3.028509e+02      4.277227e+03    
===========================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================


