Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
0 - 0 | 0.000477823
0 - 1 | 0.000389054
0 - 2 | 5.08541e-07
0 - 3 | 0.000390008
0 - 4 | 0.00135536
0 - 5 | 0.00103247
0 - 6 | 0.000438008
0 - 7 | 6.89782e-07
0 - 8 | 0.000334273
0 - 9 | 0.00119447
0 - 10 | 0.00133714
0 - 11 | 0.00175071
0 - 12 | 0.00121018
0 - 13 | 0.00013378
0 - 14 | 8.90794e-07
0 - 15 | 0.000194983
0 - 16 | 0.000917956
0 - 17 | 0.00154276
0 - 18 | 0.00171288
0 - 19 | 0.00145026
0 - 20 | 0.000477999
0 - 21 | 4.10502e-06
0 - 22 | 0.000244558
0 - 23 | 0.000925952
0 - 24 | 0.00142334
0 - 25 | 0.00173835
0 - 26 | 0.00113239
0 - 27 | 0.000894327
0 - 28 | 0.000618423
0 - 29 | 3.19181e-06
0 - 30 | 9.72176e-05
0 - 31 | 0.000717926
0 - 32 | 0.00139136
0 - 33 | 0.00161635
0 - 34 | 0.0019249
0 - 35 | 0.000870964
0 - 36 | 0.000540508
0 - 37 | 0.000327113
0 - 38 | 9.46904e-07
0 - 39 | 0.000221835
0 - 40 | 0.00122029
0 - 41 | 0.00153737
0 - 42 | 0.000887974
0 - 43 | 0.00109424
0 - 44 | 0.000658193
0 - 45 | 0.00021199
0 - 46 | 2.85102e-06
0 - 47 | 0.000181829
0 - 48 | 0.000677223
0 - 49 | 0.00115678
0 - 50 | 0.00152471
0 - 51 | 0.000971871
0 - 52 | 0.00103695
0 - 53 | 0.000729891
0 - 54 | 0.000484389
0 - 55 | 0.000581779
0 - 56 | 0.000216313
0 - 57 | 7.35946e-06
0 - 58 | 0.000244317
0 - 59 | 0.000422556
0 - 60 | 0.000633987
0 - 61 | 0.000564951
0 - 62 | 0.000220668
0 - 63 | 0.000448664
0 - 64 | 0.000529803
0 - 65 | 0.000525813
0 - 66 | 2.3986e-05
1 - 0 | 0.000389054
1 - 1 | 0.000316777
1 - 2 | 4.14066e-07
1 - 3 | 0.000317554
1 - 4 | 0.00110357
1 - 5 | 0.000840659
1 - 6 | 0.000356636
1 - 7 | 5.61636e-07
1 - 8 | 0.000272173
1 - 9 | 0.000972569
1 - 10 | 0.00108873
1 - 11 | 0.00142547
1 - 12 | 0.000985356
1 - 13 | 0.000108927
1 - 14 | 7.25305e-07
1 - 15 | 0.00015876
1 - 16 | 0.000747422
1 - 17 | 0.00125615
1 - 18 | 0.00139467
1 - 19 | 0.00118084
1 - 20 | 0.000389198
1 - 21 | 3.3424e-06
1 - 22 | 0.000199125
1 - 23 | 0.000753932
1 - 24 | 0.00115892
1 - 25 | 0.00141541
1 - 26 | 0.000922022
1 - 27 | 0.000728182
1 - 28 | 0.000503535
1 - 29 | 2.59884e-06
1 - 30 | 7.91568e-05
