Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
0 - 0 | 0.00208994
0 - 1 | 0.000783388
0 - 2 | 8.27113e-07
0 - 3 | 0.000287516
0 - 4 | 0.00238679
0 - 5 | 0.00227464
0 - 6 | 0.000693595
0 - 7 | 9.94706e-07
0 - 8 | 0.000482019
0 - 9 | 0.000598032
0 - 10 | 0.00138427
0 - 11 | 0.00206157
0 - 12 | 0.00137169
0 - 13 | 0.000160399
0 - 14 | 1.10651e-06
0 - 15 | 0.000191869
0 - 16 | 0.000152574
0 - 17 | 0.000748062
0 - 18 | 0.00121246
0 - 19 | 0.0011791
0 - 20 | 0.000413555
0 - 21 | 4.05142e-06
0 - 22 | 0.000205289
0 - 23 | 0.000190211
0 - 24 | 0.000374761
0 - 25 | 0.000804654
0 - 26 | 0.000680305
0 - 27 | 0.000591857
0 - 28 | 0.000396532
0 - 29 | 1.88759e-06
0 - 30 | 3.69115e-05
0 - 31 | -8.58294e-05
0 - 32 | 0.000382052
0 - 33 | 0.000465763
0 - 34 | 0.000205388
0 - 35 | 0.000294355
0 - 36 | 0.000235741
0 - 37 | 0.000193375
0 - 38 | 3.79304e-07
0 - 39 | 0.000155673
0 - 40 | -0.000316552
0 - 41 | 0.000385108
0 - 42 | 0.000146391
0 - 43 | 0.000241218
0 - 44 | 0.000192558
0 - 45 | 7.15331e-05
0 - 46 | 1.25018e-06
0 - 47 | 7.24741e-05
0 - 48 | -0.000243321
0 - 49 | -0.000130782
0 - 50 | -0.000393013
0 - 51 | -0.000301171
0 - 52 | -0.00027568
0 - 53 | -2.0611e-05
0 - 54 | 1.17058e-05
0 - 55 | 4.93951e-05
0 - 56 | 3.63179e-06
0 - 57 | 2.28498e-08
0 - 58 | 3.84925e-05
0 - 59 | -0.00011197
0 - 60 | -0.000174565
0 - 61 | -0.000104517
0 - 62 | -7.53034e-05
0 - 63 | -1.04515e-05
0 - 64 | 4.09072e-05
0 - 65 | 1.41261e-05
0 - 66 | -5.48655e-06
1 - 0 | 0.000783388
1 - 1 | 0.00209348
1 - 2 | 3.10244e-06
1 - 3 | 0.000818414
1 - 4 | -5.91383e-05
1 - 5 | 0.0015995
1 - 6 | 0.00105852
1 - 7 | 1.6462e-06
1 - 8 | 0.000691806
1 - 9 | -0.000773397
1 - 10 | 0.00014534
1 - 11 | 0.000993811
1 - 12 | 0.00108995
1 - 13 | 0.000155104
1 - 14 | 1.2479e-06
1 - 15 | 0.000252105
1 - 16 | -0.000353045
1 - 17 | -0.000295796
1 - 18 | 0.000305449
1 - 19 | 0.000658025
1 - 20 | 0.000270196
1 - 21 | 3.08442e-06
1 - 22 | 0.000337588
1 - 23 | -0.000285369
1 - 24 | -0.00027922
1 - 25 | 6.56276e-05
1 - 26 | 0.000123773
1 - 27 | 0.000284731
1 - 28 | 0.000122756
1 - 29 | 1.58885e-06
1 - 30 | 6.52869e-05
1 - 31 | -0.0002199
1 - 32 | -0.00012137
1 - 33 | 2.03409e-05
1 - 34 | 0.000620617
1 - 35 | 0.000279991
1 - 36 | 0.000180228
1 - 37 | 0.000130736
1 - 38 | 6.70282e-07
1 - 39 | 8.71723e-05
1 - 40 | -0.000382694
1 - 41 | -2.79937e-05
1 - 42 | -1.80482e-07
1 - 43 | 0.000110597
1 - 44 | 2.79625e-06
1 - 45 | 5.12016e-05
1 - 46 | 1.53243e-06
1 - 47 | 7.50271e-05
1 - 48 | -0.000190613
1 - 49 | 0.000198568
1 - 50 | 0.000366823
1 - 51 | 0.000326418
1 - 52 | 0.000315865
1 - 53 | 0.000182243
1 - 54 | 6.87696e-05
1 - 55 | 0.000138984
1 - 56 | 3.44295e-05
1 - 57 | 2.06408e-06
1 - 58 | 7.88126e-05
1 - 59 | -9.16565e-06
1 - 60 | 8.89958e-05
1 - 61 | 0.000185307
1 - 62 | 5.83498e-06
1 - 63 | 5.12544e-05
1 - 64 | 5.56939e-05
1 - 65 | 7.1565e-06
1 - 66 | 8.34382e-07
2 - 0 | 8.27113e-07
2 - 1 | 3.10244e-06
2 - 2 | 6.59184e-09
2 - 3 | 1.747e-06
2 - 4 | -1.36344e-07
2 - 5 | 2.22001e-06
2 - 6 | 1.534e-06
2 - 7 | 2.66198e-09
2 - 8 | 1.43124e-06
2 - 9 | -1.54463e-06
2 - 10 | 3.62848e-07
2 - 11 | 8.1803e-07
2 - 12 | 1.6076e-06
2 - 13 | 2.55465e-07
2 - 14 | 2.17083e-09
2 - 15 | 8.20386e-07
2 - 16 | -6.85698e-07
2 - 17 | -2.68061e-07
2 - 18 | 1.79071e-07
2 - 19 | 8.79276e-07
2 - 20 | 3.99166e-07
2 - 21 | 4.62887e-09
2 - 22 | 7.84901e-07
2 - 23 | -1.18513e-07
2 - 24 | -1.5318e-07
2 - 25 | -2.75466e-07
2 - 26 | 2.49793e-07
2 - 27 | 3.49713e-07
2 - 28 | 1.90828e-07
2 - 29 | 3.38179e-09
2 - 30 | 3.93781e-07
2 - 31 | -3.77705e-07
2 - 32 | -2.73367e-07
2 - 33 | 2.27314e-08
2 - 34 | 1.19256e-06
2 - 35 | 4.09062e-07
2 - 36 | 3.75605e-07
2 - 37 | 1.59457e-07
2 - 38 | 1.72386e-09
2 - 39 | 2.56174e-07
