Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
0 - 0 | 0.000937317
0 - 1 | -0.000605412
0 - 2 | 3.17234e-07
0 - 3 | -8.32889e-05
0 - 4 | 9.96027e-05
0 - 5 | 1.76079e-05
0 - 6 | 7.33082e-05
0 - 7 | -2.8715e-07
0 - 8 | -0.000147564
0 - 9 | 0.000509926
0 - 10 | -0.000304671
0 - 11 | -6.33029e-05
0 - 12 | -0.000460353
0 - 13 | 0.000221503
0 - 14 | -3.20515e-08
0 - 15 | -8.59966e-05
0 - 16 | 0.000108993
0 - 17 | -0.00010104
0 - 18 | 0.000354969
0 - 19 | -0.000879364
0 - 20 | 0.000457545
0 - 21 | -5.27117e-07
0 - 22 | 0.000173525
0 - 23 | -0.000153502
0 - 24 | 0.00088721
0 - 25 | -0.00028584
0 - 26 | 0.000291514
0 - 27 | -0.000330838
0 - 28 | 0.000157696
0 - 29 | -1.17698e-06
0 - 30 | 2.79612e-05
0 - 31 | -0.000123601
0 - 32 | -0.000216064
0 - 33 | 0.000177204
0 - 34 | 5.46889e-05
0 - 35 | 0.000193544
0 - 36 | -0.000215692
0 - 37 | 6.9665e-05
0 - 38 | -6.08766e-07
0 - 39 | 6.90873e-05
0 - 40 | 0.000275942
0 - 41 | 0.000134133
0 - 42 | -9.02642e-05
0 - 43 | 0.000691668
0 - 44 | -0.000114763
0 - 45 | 0.000140551
0 - 46 | -2.99641e-06
0 - 47 | 0.000147517
0 - 48 | -1.02816e-05
0 - 49 | -0.000436121
0 - 50 | 0.000278381
0 - 51 | 0.000236464
0 - 52 | -0.000285115
0 - 53 | 0.000251929
0 - 54 | -0.000290085
0 - 55 | -2.28036e-05
0 - 56 | 5.52725e-05
0 - 57 | -1.60414e-06
0 - 58 | -0.000179913
0 - 59 | 0.000233103
0 - 60 | 7.59478e-05
0 - 61 | 1.75436e-05
0 - 62 | 0.000151686
0 - 63 | 1.98144e-05
0 - 64 | -0.000179253
0 - 65 | 7.53531e-05
0 - 66 | 2.74202e-06
1 - 0 | -0.000605412
1 - 1 | 0.00245097
1 - 2 | -2.9265e-06
1 - 3 | 0.000156491
