0
3
8
15
22
30
39
47
58

0 | -1 - 0 | 0 - 0.3 | 0.255394
1 | -1 - 0 | 0.3 - 0.4 | 0.207948
2 | -1 - 0 | 0.4 - 30 | 0.000271813
3 | 0 - 0.6 | 0 - 0.3 | 0.208457
4 | 0 - 0.6 | 0.3 - 0.4 | 0.724434
5 | 0 - 0.6 | 0.4 - 0.5 | 0.551849
6 | 0 - 0.6 | 0.5 - 0.6 | 0.234113
7 | 0 - 0.6 | 0.6 - 30 | 0.000368685
8 | 0.6 - 0.7 | 0 - 0.3 | 0.178667
9 | 0.6 - 0.7 | 0.3 - 0.4 | 0.63844
10 | 0.6 - 0.7 | 0.4 - 0.5 | 0.714696
11 | 0.6 - 0.7 | 0.5 - 0.6 | 0.935747
12 | 0.6 - 0.7 | 0.6 - 0.7 | 0.646835
13 | 0.6 - 0.7 | 0.7 - 0.8 | 0.0715046
14 | 0.6 - 0.7 | 0.8 - 30 | 0.000476125
15 | 0.7 - 0.8 | 0 - 0.3 | 0.104217
16 | 0.7 - 0.8 | 0.3 - 0.4 | 0.490643
17 | 0.7 - 0.8 | 0.4 - 0.5 | 0.824596
18 | 0.7 - 0.8 | 0.5 - 0.6 | 0.915528
19 | 0.7 - 0.8 | 0.6 - 0.7 | 0.775158
20 | 0.7 - 0.8 | 0.7 - 0.8 | 0.255488
21 | 0.7 - 0.8 | 0.8 - 30 | 0.00219411
22 | 0.8 - 0.85 | 0 - 0.3 | 0.130715
23 | 0.8 - 0.85 | 0.3 - 0.4 | 0.494917
24 | 0.8 - 0.85 | 0.4 - 0.5 | 0.76077
25 | 0.8 - 0.85 | 0.5 - 0.6 | 0.92914
26 | 0.8 - 0.85 | 0.6 - 0.7 | 0.605259
27 | 0.8 - 0.85 | 0.7 - 0.8 | 0.478013
28 | 0.8 - 0.85 | 0.8 - 1 | 0.330544
29 | 0.8 - 0.85 | 1 - 30 | 0.001706
30 | 0.85 - 0.9 | 0 - 0.3 | 0.0519623
31 | 0.85 - 0.9 | 0.3 - 0.4 | 0.383728
32 | 0.85 - 0.9 | 0.4 - 0.5 | 0.743677
33 | 0.85 - 0.9 | 0.5 - 0.6 | 0.863931
34 | 0.85 - 0.9 | 0.6 - 0.7 | 1.02885
35 | 0.85 - 0.9 | 0.7 - 0.8 | 0.465526
36 | 0.85 - 0.9 | 0.8 - 1 | 0.288899
37 | 0.85 - 0.9 | 1 - 1.5 | 0.17484
38 | 0.85 - 0.9 | 1.5 - 30 | 0.000506115
39 | 0.9 - 0.94 | 0 - 0.4 | 0.11857
40 | 0.9 - 0.94 | 0.4 - 0.5 | 0.652239
41 | 0.9 - 0.94 | 0.5 - 0.6 | 0.821718
42 | 0.9 - 0.94 | 0.6 - 0.7 | 0.474617
43 | 0.9 - 0.94 | 0.7 - 0.8 | 0.584867
44 | 0.9 - 0.94 | 0.8 - 1.25 | 0.351801
45 | 0.9 - 0.94 | 1.25 - 2 | 0.113308
46 | 0.9 - 0.94 | 2 - 30 | 0.00152386
47 | 0.94 - 0.98 | 0 - 0.4 | 0.0971869
48 | 0.94 - 0.98 | 0.4 - 0.5 | 0.361972
49 | 0.94 - 0.98 | 0.5 - 0.6 | 0.618293
50 | 0.94 - 0.98 | 0.6 - 0.7 | 0.814948
51 | 0.94 - 0.98 | 0.7 - 0.8 | 0.51946
52 | 0.94 - 0.98 | 0.8 - 1 | 0.554242
53 | 0.94 - 0.98 | 1 - 1.25 | 0.390123
54 | 0.94 - 0.98 | 1.25 - 1.5 | 0.258903
55 | 0.94 - 0.98 | 1.5 - 2 | 0.310958
56 | 0.94 - 0.98 | 2 - 3 | 0.115618
57 | 0.94 - 0.98 | 3 - 30 | 0.00393359
58 | 0.98 - 1 | 0 - 0.5 | 0.130586
59 | 0.98 - 1 | 0.5 - 0.6 | 0.225854
60 | 0.98 - 1 | 0.6 - 0.7 | 0.338863
61 | 0.98 - 1 | 0.7 - 0.8 | 0.301963
62 | 0.98 - 1 | 0.8 - 1.25 | 0.117946
63 | 0.98 - 1 | 1.25 - 2 | 0.239808
64 | 0.98 - 1 | 2 - 3 | 0.283177
65 | 0.98 - 1 | 3 - 5 | 0.281044
66 | 0.98 - 1 | 5 - 30 | 0.0128204
