Units: momentum (GeV), cross-section (10^-38 cm2/(nucleon x GeV))

bin number | cosTheta min - cosTheta max | momentum min - momentum max | measured xsec
0 | 0.6 - 0.7 | 0.2 - 0.35 | 3.76e-01
1 | 0.6 - 0.7 | 0.35 - 0.5 | 8.32e-01
2 | 0.6 - 0.7 | 0.5 - 0.65 | 7.51e-01
3 | 0.6 - 0.7 | 0.65 - 0.8 | 2.27e-01
4 | 0.6 - 0.7 | 0.8 - 0.95 | 7.05e-02
5 | 0.6 - 0.7 | 0.95 - 1.1 | 3.00e-02
6 | 0.6 - 0.7 | 1.1 - 1.25 | 6.71e-03
7 | 0.6 - 0.7 | 1.25 - 1.5 | 1.92e-03
8 | 0.6 - 0.7 | 1.5 - 2.0 | 0.00e+00
9 | 0.6 - 0.7 | 2.0 - 3.0 | 0.00e+00
10 | 0.6 - 0.7 | 3.0 - 5.0 | 0.00e+00
11 | 0.6 - 0.7 | 5.0 - 30.0 | 0.00e+00
12 | 0.7 - 0.8 | 0.2 - 0.35 | 3.03e-01
13 | 0.7 - 0.8 | 0.35 - 0.5 | 7.84e-01
14 | 0.7 - 0.8 | 0.5 - 0.65 | 8.76e-01
15 | 0.7 - 0.8 | 0.65 - 0.8 | 3.77e-01
16 | 0.7 - 0.8 | 0.8 - 0.95 | 1.85e-01
17 | 0.7 - 0.8 | 0.95 - 1.1 | 8.54e-02
18 | 0.7 - 0.8 | 1.1 - 1.25 | 2.89e-02
19 | 0.7 - 0.8 | 1.25 - 1.5 | 1.04e-02
20 | 0.7 - 0.8 | 1.5 - 2.0 | 1.89e-03
21 | 0.7 - 0.8 | 2.0 - 3.0 | 0.00e+00
22 | 0.7 - 0.8 | 3.0 - 5.0 | 0.00e+00
23 | 0.7 - 0.8 | 5.0 - 30.0 | 0.00e+00
24 | 0.8 - 0.85 | 0.2 - 0.35 | 2.85e-01
25 | 0.8 - 0.85 | 0.35 - 0.5 | 7.53e-01
26 | 0.8 - 0.85 | 0.5 - 0.65 | 8.70e-01
27 | 0.8 - 0.85 | 0.65 - 0.8 | 5.11e-01
28 | 0.8 - 0.85 | 0.8 - 0.95 | 2.78e-01
29 | 0.8 - 0.85 | 0.95 - 1.1 | 1.38e-01
30 | 0.8 - 0.85 | 1.1 - 1.25 | 7.28e-02
31 | 0.8 - 0.85 | 1.25 - 1.5 | 3.03e-02
32 | 0.8 - 0.85 | 1.5 - 2.0 | -8.72e-03
33 | 0.8 - 0.85 | 2.0 - 3.0 | -1.62e-03
34 | 0.8 - 0.85 | 3.0 - 5.0 | 0.00e+00
35 | 0.8 - 0.85 | 5.0 - 30.0 | 0.00e+00
36 | 0.85 - 0.9 | 0.2 - 0.35 | 2.47e-01
37 | 0.85 - 0.9 | 0.35 - 0.5 | 6.87e-01
38 | 0.85 - 0.9 | 0.5 - 0.65 | 8.53e-01
39 | 0.85 - 0.9 | 0.65 - 0.8 | 6.38e-01
40 | 0.85 - 0.9 | 0.8 - 0.95 | 3.18e-01
41 | 0.85 - 0.9 | 0.95 - 1.1 | 2.06e-01
42 | 0.85 - 0.9 | 1.1 - 1.25 | 1.44e-01
43 | 0.85 - 0.9 | 1.25 - 1.5 | 7.22e-02
44 | 0.85 - 0.9 | 1.5 - 2.0 | 1.42e-02
45 | 0.85 - 0.9 | 2.0 - 3.0 | -8.36e-03
