Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
0 - 0 | 0.00171272388995
0 - 1 | 0.00378584804599
0 - 2 | 0.00341856551576
0 - 3 | 0.00103231745149
0 - 4 | 0.000321026706614
0 - 5 | 0.000136647868334
0 - 6 | 3.05472694564e-05
0 - 7 | 8.7220496192e-06
0 - 8 | 0.0
0 - 9 | 0.0
0 - 10 | 0.0
0 - 11 | 0.0
0 - 12 | 0.00137836649594
0 - 13 | 0.00356971314619
0 - 14 | 0.00398978647166
0 - 15 | 0.00171469222892
0 - 16 | 0.000844345545558
0 - 17 | 0.000388578794821
0 - 18 | 0.000131534066535
0 - 19 | 4.71646879413e-05
0 - 20 | 8.60920927031e-06
0 - 21 | 0.0
0 - 22 | 0.0
0 - 23 | 0.0
0 - 24 | 0.00129663911519
0 - 25 | 0.00342664446909
0 - 26 | 0.00396141822974
0 - 27 | 0.00232596280961
0 - 28 | 0.00126404572057
0 - 29 | 0.000628310028205
0 - 30 | 0.000331364993874
0 - 31 | 0.000138010704849
0 - 32 | -3.96943847013e-05
0 - 33 | -7.37645051843e-06
0 - 34 | 0.0
0 - 35 | 0.0
0 - 36 | 0.00112431842416
0 - 37 | 0.00312855533851
0 - 38 | 0.00388164944598
0 - 39 | 0.00290644039191
0 - 40 | 0.00144836935708
0 - 41 | 0.000938560922974
0 - 42 | 0.000655559631186
0 - 43 | 0.000328676266813
0 - 44 | 6.48580355946e-05
0 - 45 | -3.80649489878e-05
0 - 46 | 0.0
0 - 47 | 0.0
0 - 48 | 0.000816059358278
0 - 49 | 0.00249998844685
0 - 50 | 0.00340880291982
0 - 51 | 0.00279622519674
0 - 52 | 0.0017373901574
0 - 53 | 0.00172479217696
0 - 54 | 0.000920632998765
0 - 55 | 0.00193151080831
0 - 56 | 0.000326620236461
0 - 57 | 4.56000712544e-05
0 - 58 | 3.04682937016e-06
0 - 59 | 0.0
0 - 60 | 0.000670001347302
0 - 61 | 0.0017092178052
0 - 62 | 0.00263228484592
0 - 63 | 0.00229307698713
0 - 64 | 0.0015846420127
0 - 65 | 0.00157377272041
0 - 66 | 0.00143351240076
0 - 67 | 0.000932250628593
0 - 68 | 0.000726085293653
0 - 69 | 0.000194376039004
0 - 70 | 1.82826132131e-05
0 - 71 | 0.0
0 - 72 | 0.000785364039841
0 - 73 | 0.00187234757422
0 - 74 | 0.00328750531412
0 - 75 | 0.00326375698172
0 - 76 | 0.00265941940301
0 - 77 | 0.00154226001491
0 - 78 | 0.00134854039062
0 - 79 | 0.00132516746961
0 - 80 | 0.00112845549725
0 - 81 | 0.000626743891611
0 - 82 | 0.000160183322822
0 - 83 | 8.00063775885e-07
0 - 84 | 0.000480411843251
0 - 85 | 0.000983843993117
0 - 86 | 0.00171282160913
0 - 87 | 0.00174137375311
0 - 88 | 0.00109791674533
0 - 89 | 0.000738266354887
0 - 90 | 0.000764595226694
0 - 91 | 0.000893806362072
0 - 92 | 0.000997071892769
0 - 93 | 0.00102147862896
0 - 94 | 0.000808588955071
0 - 95 | 3.61242196839e-05
1 - 0 | 0.00378584804599
1 - 1 | 0.00836833392201
1 - 2 | 0.0075564833619
1 - 3 | 0.00228186050857
1 - 4 | 0.000709605521986
1 - 5 | 0.000302049891612
1 - 6 | 6.75224541798e-05
1 - 7 | 1.92794382688e-05
1 - 8 | 0.0
1 - 9 | 0.0
1 - 10 | 0.0
1 - 11 | 0.0
1 - 12 | 0.00304677603665
1 - 13 | 0.00789058389304
1 - 14 | 0.00881912455725
1 - 15 | 0.00379019891206
1 - 16 | 0.00186636267092
1 - 17 | 0.000858924360031
1 - 18 | 0.000290746215252
1 - 19 | 0.000104254014748
1 - 20 | 1.90300131182e-05
1 - 21 | 0.0
1 - 22 | 0.0
1 - 23 | 0.0
1 - 24 | 0.00286612377477
1 - 25 | 0.00757434128393
1 - 26 | 0.00875641868046
1 - 27 | 0.00514136680727
1 - 28 | 0.00279407851397
1 - 29 | 0.00138883231939
1 - 30 | 0.000732457532664
1 - 31 | 0.000305062339788
1 - 32 | -8.77414682192e-05
1 - 33 | -1.63050921082e-05
1 - 34 | 0.0
1 - 35 | 0.0
1 - 36 | 0.00248522177693
1 - 37 | 0.00691543755801
1 - 38 | 0.00858009575069
1 - 39 | 0.00642446908289
1 - 40 | 0.00320151212496
1 - 41 | 0.00207461871533
1 - 42 | 0.00144906552849
1 - 43 | 0.000726514302613
1 - 44 | 0.000143363836263
1 - 45 | -8.41397224573e-05
1 - 46 | 0.0
1 - 47 | 0.0
1 - 48 | 0.00180383816976
1 - 49 | 0.00552603746117
1 - 50 | 0.00753490387383
1 - 51 | 0.00618084663813
1 - 52 | 0.00384037098514
1 - 53 | 0.00381252409172
1 - 54 | 0.00203499037989
1 - 55 | 0.00426946016363
1 - 56 | 0.000721969601314
