Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
0 - 0 | 0.000985525379049
0 - 1 | 0.000180383857814
0 - 2 | 2.42278531615e-05
0 - 3 | -1.50334978713e-05
0 - 4 | -4.27459748193e-06
0 - 5 | -1.85114713311e-06
0 - 6 | 1.54636484389e-07
0 - 7 | 2.24586508887e-08
0 - 8 | 0.0
0 - 9 | 0.0
0 - 10 | 0.0
0 - 11 | 0.0
0 - 12 | 0.000135228516164
0 - 13 | 5.6664104895e-05
0 - 14 | 8.17589320756e-06
0 - 15 | 3.12873430308e-06
0 - 16 | -8.29496377149e-06
0 - 17 | -4.88513440459e-06
0 - 18 | -3.48314086226e-06
0 - 19 | -7.07400569248e-07
0 - 20 | 1.13088332277e-07
0 - 21 | 0.0
0 - 22 | 0.0
0 - 23 | 0.0
0 - 24 | 1.50994262448e-05
0 - 25 | 3.1685823948e-05
0 - 26 | 1.18243001261e-05
0 - 27 | 2.17025272206e-05
0 - 28 | -3.60163391105e-07
0 - 29 | -4.44332717019e-06
0 - 30 | -3.05120548964e-06
0 - 31 | -4.57001879294e-06
0 - 32 | 1.31407283109e-06
0 - 33 | 1.46241364843e-07
0 - 34 | 0.0
0 - 35 | 0.0
0 - 36 | 2.97726661913e-05
0 - 37 | 1.23776301901e-05
0 - 38 | -4.6905615042e-06
0 - 39 | -1.28600834643e-05
0 - 40 | -7.64339091891e-06
0 - 41 | -2.12043096706e-06
0 - 42 | -8.28766960449e-06
0 - 43 | -4.88510013107e-06
0 - 44 | -4.20253270535e-07
0 - 45 | 1.65690613646e-06
0 - 46 | 0.0
0 - 47 | 0.0
0 - 48 | 3.22063856942e-05
0 - 49 | 2.48081347534e-05
0 - 50 | 1.59685782351e-05
0 - 51 | -8.24147750388e-06
0 - 52 | 7.46917580495e-07
0 - 53 | -7.06411405629e-06
0 - 54 | -8.17683388072e-06
0 - 55 | -9.1985776036e-06
0 - 56 | -2.03134019494e-06
0 - 57 | 2.35309487876e-07
0 - 58 | 1.60029578164e-07
0 - 59 | 0.0
0 - 60 | 3.84387503567e-05
0 - 61 | 2.02652968885e-05
0 - 62 | -3.38584137545e-06
0 - 63 | 2.3537112796e-05
0 - 64 | 1.68102463227e-05
0 - 65 | -1.01510860727e-06
0 - 66 | -6.56437401562e-06
0 - 67 | -5.02923342007e-06
0 - 68 | -1.01901515404e-05
0 - 69 | 3.07160680674e-06
0 - 70 | 8.30883108039e-07
0 - 71 | 0.0
0 - 72 | -1.36811995697e-05
0 - 73 | 2.12238443357e-05
