
 Variable :  p_mu theta_mu 

Cos (Low end-Up end)  Mom (Low end-Up end) GeV 	   cross-section 10^{-38}cm2/GeV/Nucleon
--------------------------------------------------------------------------------------- 
Bin 0 (0.0000,0.8000) (0.0000,0.4000)   	0.1004
Bin 1 (0.0000,0.8000) (0.4000,1.2000)   	0.0233
Bin 2 (0.0000,0.8000) (1.2000,1.6000)   	0.0017
Bin 3 (0.0000,0.8000) (1.6000,2.0000)   	0.0004
Bin 4 (0.0000,0.8000) (2.0000,15.0000)   	0.0000
Bin 5 (0.8000,0.8500) (0.0000,0.4000)   	0.1175
Bin 6 (0.8000,0.8500) (0.4000,1.2000)   	0.1062
Bin 7 (0.8000,0.8500) (1.2000,1.6000)   	0.0182
Bin 8 (0.8000,0.8500) (1.6000,2.0000)   	0.0043
Bin 9 (0.8000,0.8500) (2.0000,15.0000)   	0.0000
Bin 10 (0.8500,0.9000) (0.0000,0.4000)   	0.0998
Bin 11 (0.8500,0.9000) (0.4000,1.2000)   	0.1343
Bin 12 (0.8500,0.9000) (1.2000,1.6000)   	0.0415
Bin 13 (0.8500,0.9000) (1.6000,2.0000)   	0.0114
Bin 14 (0.8500,0.9000) (2.0000,15.0000)   	0.0000
Bin 15 (0.9000,1.0000) (0.0000,0.4000)   	0.1145
Bin 16 (0.9000,1.0000) (0.4000,1.2000)   	0.1413
Bin 17 (0.9000,1.0000) (1.2000,1.6000)   	0.1202
Bin 18 (0.9000,1.0000) (1.6000,2.0000)   	0.1007
Bin 19 (0.9000,1.0000) (2.0000,15.0000)   	0.0140
---------------------------------------------------------------------------------------- 

 Covariance matrix 

(bin1-bin2)  	  Cov(bin1,bin2) [= Cov(bin2,bin1)] 
---------------------------------------------------------------------------------------- 

 ( 0-0 ) 	 0.0005666501
 ( 0-1 ) 	 0.0005686983
 ( 0-2 ) 	 0.0005103095
 ( 0-3 ) 	 0.0005338387
 ( 0-4 ) 	 0.0000902192
 ( 0-5 ) 	 0.0003452594
 ( 0-6 ) 	 0.0004299629
 ( 0-7 ) 	 0.0004411195
 ( 0-8 ) 	 0.0000077690
 ( 0-9 ) 	 0.0000744048
 ( 0-10 ) 	 0.0001425246
 ( 0-11 ) 	 0.0003744206
 ( 0-12 ) 	 0.0000019880
 ( 0-13 ) 	 0.0000186993
 ( 0-14 ) 	 0.0000526413
 ( 0-15 ) 	 0.0003187756
 ( 0-16 ) 	 0.0000000100
 ( 0-17 ) 	 0.0000000422
 ( 0-18 ) 	 0.0000011576
 ( 0-19 ) 	 0.0000462853
 ( 1-1 ) 	 0.0009526706
 ( 1-2 ) 	 0.0006600224
 ( 1-3 ) 	 0.0006030986
 ( 1-4 ) 	 0.0001031060
 ( 1-5 ) 	 0.0004118135
 ( 1-6 ) 	 0.0005013412
 ( 1-7 ) 	 0.0005253508
 ( 1-8 ) 	 0.0000092039
 ( 1-9 ) 	 0.0000936286
 ( 1-10 ) 	 0.0001691692
 ( 1-11 ) 	 0.0004353796
 ( 1-12 ) 	 0.0000025182
 ( 1-13 ) 	 0.0000253229
 ( 1-14 ) 	 0.0000670219
 ( 1-15 ) 	 0.0003677954
 ( 1-16 ) 	 0.0000000123
 ( 1-17 ) 	 0.0000001411
 ( 1-18 ) 	 0.0000014346
 ( 1-19 ) 	 0.0000545252
 ( 2-2 ) 	 0.0008167382
 ( 2-3 ) 	 0.0006346576
 ( 2-4 ) 	 0.0000928845
 ( 2-5 ) 	 0.0003565603
 ( 2-6 ) 	 0.0004752307
 ( 2-7 ) 	 0.0004861377
 ( 2-8 ) 	 0.0000083624
 ( 2-9 ) 	 0.0000929873
 ( 2-10 ) 	 0.0001626229
 ( 2-11 ) 	 0.0004038681
 ( 2-12 ) 	 0.0000020398
 ( 2-13 ) 	 0.0000239370
 ( 2-14 ) 	 0.0000646321
 ( 2-15 ) 	 0.0003482652
 ( 2-16 ) 	 0.0000000094
 ( 2-17 ) 	 0.0000001508
 ( 2-18 ) 	 0.0000014976
 ( 2-19 ) 	 0.0000494646
 ( 3-3 ) 	 0.0009090564
 ( 3-4 ) 	 0.0001001871
 ( 3-5 ) 	 0.0003974689
 ( 3-6 ) 	 0.0005277231
 ( 3-7 ) 	 0.0005636140
 ( 3-8 ) 	 0.0000082616
 ( 3-9 ) 	 0.0000900370
 ( 3-10 ) 	 0.0001835398
 ( 3-11 ) 	 0.0004683568
 ( 3-12 ) 	 0.0000021445
 ( 3-13 ) 	 0.0000222478
 ( 3-14 ) 	 0.0000713213
 ( 3-15 ) 	 0.0004095885
 ( 3-16 ) 	 0.0000000101
 ( 3-17 ) 	 -0.0000000100
 ( 3-18 ) 	 0.0000014909
 ( 3-19 ) 	 0.0000561390
 ( 4-4 ) 	 0.0000262635
 ( 4-5 ) 	 0.0000879958
 ( 4-6 ) 	 0.0001045915
 ( 4-7 ) 	 0.0001058880
 ( 4-8 ) 	 0.0000025257
 ( 4-9 ) 	 0.0000241173
 ( 4-10 ) 	 0.0000381947
 ( 4-11 ) 	 0.0000887736
 ( 4-12 ) 	 0.0000006183
 ( 4-13 ) 	 0.0000079510
 ( 4-14 ) 	 0.0000197338
 ( 4-15 ) 	 0.0000777699
 ( 4-16 ) 	 0.0000000036
 ( 4-17 ) 	 0.0000000706
 ( 4-18 ) 	 0.0000005831
 ( 4-19 ) 	 0.0000120574
 ( 5-5 ) 	 0.0005124229
 ( 5-6 ) 	 0.0004582615
 ( 5-7 ) 	 0.0004396641
 ( 5-8 ) 	 0.0000085306
 ( 5-9 ) 	 0.0001110136
 ( 5-10 ) 	 0.0001557185
 ( 5-11 ) 	 0.0003669045
 ( 5-12 ) 	 0.0000021566
 ( 5-13 ) 	 0.0000340846
 ( 5-14 ) 	 0.0000695727
 ( 5-15 ) 	 0.0003203564
 ( 5-16 ) 	 0.0000000138
 ( 5-17 ) 	 0.0000002800
 ( 5-18 ) 	 0.0000017090
 ( 5-19 ) 	 0.0000484742
 ( 6-6 ) 	 0.0007498285
 ( 6-7 ) 	 0.0005724277
 ( 6-8 ) 	 0.0000094604
 ( 6-9 ) 	 0.0001108240
 ( 6-10 ) 	 0.0002146363
 ( 6-11 ) 	 0.0004685564
 ( 6-12 ) 	 0.0000023533
 ( 6-13 ) 	 0.0000337459
 ( 6-14 ) 	 0.0000796033
 ( 6-15 ) 	 0.0004034379
 ( 6-16 ) 	 0.0000000131
 ( 6-17 ) 	 0.0000002866
 ( 6-18 ) 	 0.0000017176
 ( 6-19 ) 	 0.0000599575
 ( 7-7 ) 	 0.0006808361
 ( 7-8 ) 	 0.0000098310
 ( 7-9 ) 	 0.0001067350
 ( 7-10 ) 	 0.0001995776
 ( 7-11 ) 	 0.0004939694
 ( 7-12 ) 	 0.0000025445
 ( 7-13 ) 	 0.0000315475
 ( 7-14 ) 	 0.0000844284
 ( 7-15 ) 	 0.0004166798
 ( 7-16 ) 	 0.0000000145
 ( 7-17 ) 	 0.0000002355
 ( 7-18 ) 	 0.0000019627
 ( 7-19 ) 	 0.0000610722
 ( 8-8 ) 	 0.0000008523
 ( 8-9 ) 	 0.0000035144
 ( 8-10 ) 	 0.0000041586
 ( 8-11 ) 	 0.0000079261
 ( 8-12 ) 	 0.0000001840
 ( 8-13 ) 	 0.0000013560
 ( 8-14 ) 	 0.0000030671
 ( 8-15 ) 	 0.0000074010
 ( 8-16 ) 	 0.0000000013
 ( 8-17 ) 	 0.0000000208
 ( 8-18 ) 	 0.0000001472
 ( 8-19 ) 	 0.0000013361
 ( 9-9 ) 	 0.0001270294
 ( 9-10 ) 	 0.0000588923
 ( 9-11 ) 	 0.0000887266
 ( 9-12 ) 	 0.0000010689
 ( 9-13 ) 	 0.0000365389
 ( 9-14 ) 	 0.0000476800
 ( 9-15 ) 	 0.0000836867
 ( 9-16 ) 	 0.0000000066
 ( 9-17 ) 	 0.0000005111
 ( 9-18 ) 	 0.0000020389
 ( 9-19 ) 	 0.0000162138
 ( 10-10 ) 	 0.0001885256
 ( 10-11 ) 	 0.0001734856
 ( 10-12 ) 	 0.0000011919
 ( 10-13 ) 	 0.0000192385
 ( 10-14 ) 	 0.0000691699
 ( 10-15 ) 	 0.0001563459
 ( 10-16 ) 	 0.0000000067
 ( 10-17 ) 	 0.0000001822
 ( 10-18 ) 	 0.0000017787
 ( 10-19 ) 	 0.0000236055
 ( 11-11 ) 	 0.0005476729
 ( 11-12 ) 	 0.0000021589
 ( 11-13 ) 	 0.0000249483
 ( 11-14 ) 	 0.0000732101
 ( 11-15 ) 	 0.0003973613
 ( 11-16 ) 	 0.0000000119
 ( 11-17 ) 	 0.0000001797
 ( 11-18 ) 	 0.0000019774
 ( 11-19 ) 	 0.0000519585
 ( 12-12 ) 	 0.0000000810
 ( 12-13 ) 	 0.0000005620
 ( 12-14 ) 	 0.0000010464
 ( 12-15 ) 	 0.0000019127
 ( 12-16 ) 	 0.0000000005
 ( 12-17 ) 	 0.0000000104
 ( 12-18 ) 	 0.0000000585
 ( 12-19 ) 	 0.0000003503
 ( 13-13 ) 	 0.0000290034
 ( 13-14 ) 	 0.0000215253
 ( 13-15 ) 	 0.0000267870
 ( 13-16 ) 	 0.0000000032
 ( 13-17 ) 	 0.0000004370
 ( 13-18 ) 	 0.0000009273
 ( 13-19 ) 	 0.0000059893
 ( 14-14 ) 	 0.0001028494
 ( 14-15 ) 	 0.0000700266
 ( 14-16 ) 	 0.0000000068
 ( 14-17 ) 	 0.0000003461
 ( 14-18 ) 	 0.0000034968
 ( 14-19 ) 	 0.0000141327
 ( 15-15 ) 	 0.0004168317
 ( 15-16 ) 	 0.0000000112
 ( 15-17 ) 	 0.0000001791
 ( 15-18 ) 	 0.0000019472
 ( 15-19 ) 	 0.0000507654
 ( 16-16 ) 	 0.0000000000
 ( 16-17 ) 	 0.0000000000
 ( 16-18 ) 	 0.0000000000
 ( 16-19 ) 	 0.0000000023
 ( 17-17 ) 	 0.0000000221
 ( 17-18 ) 	 0.0000000103
 ( 17-19 ) 	 0.0000000536
 ( 18-18 ) 	 0.0000001294
 ( 18-19 ) 	 0.0000005010
 ( 19-19 ) 	 0.0000095819
---------------------------------------------------------------------------------------- 

