cos #theta_{#pi} ,0.3 - 0.57,0.57 - 0.68,0.68 - 0.75,0.75 - 0.79,0.79 - 0.83,0.83 - 0.86,0.86 - 0.89,0.89 - 0.91,0.91 - 0.93,0.93 - 0.95,0.95 - 0.97,0.97 - 0.98,0.98 - 0.99,0.99 - 1,
Cross-section (x10^{-40} cm^2/nucleon) ,3.75898,4.41144,6.61454,6.10742,8.25426,9.59524,11.2173,10.9576,10.85,12.9896,9.22953,6.47101,16.0661,17.7185,
Total uncertainty (x10^{-40} cm^2/nucleon) ,1.51153,1.94123,2.7424,2.59101,3.19936,3.55985,4.15182,4.42377,5.03002,5.64086,5.49408,6.69312,9.55249,12.9048,

Total covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.57,2.28472,2.14364,2.91724,2.57577,3.22937,3.45342,4.14768,4.28718,4.94703,5.37834,4.67523,5.53363,7.7741,9.70198,
0.57 - 0.68,2.14364,3.76835,4.03346,3.38354,4.14068,4.38673,5.22834,5.30977,6.11439,6.73776,5.66985,6.4973,9.64431,11.715,
0.68 - 0.75,2.91724,4.03346,7.52075,5.4836,6.28002,6.65569,7.65351,7.72572,9.1367,9.8909,8.54003,9.88068,14.5343,16.8967,
0.75 - 0.79,2.57577,3.38354,5.4836,6.71333,6.58513,6.03283,7.00306,7.27464,8.40766,9.29401,8.13632,9.45438,13.2538,16.0406,
0.79 - 0.83,3.22937,4.14068,6.28002,6.58513,10.2359,8.65526,9.21537,9.37644,10.7709,11.8707,10.9248,12.0727,17.334,22.1115,
0.83 - 0.86,3.45342,4.38673,6.65569,6.03283,8.65526,12.6726,11.0795,10.142,11.623,13.2853,11.7112,12.8211,19.3628,23.9791,
0.86 - 0.89,4.14768,5.22834,7.65351,7.00306,9.21537,11.0795,17.2376,14.1618,14.3979,15.5723,13.9843,15.8568,23.2633,29.4053,
0.89 - 0.91,4.28718,5.30977,7.72572,7.27464,9.37644,10.142,14.1618,19.5697,17.3231,16.2947,14.7041,16.5392,24.6091,31.615,
0.91 - 0.93,4.94703,6.11439,9.1367,8.40766,10.7709,11.623,14.3979,17.3231,25.3011,22.0157,17.6816,20.2511,29.9288,37.6494,
0.93 - 0.95,5.37834,6.73776,9.8909,9.29401,11.8707,13.2853,15.5723,16.2947,22.0157,31.8193,22.0333,22.9884,33.824,42.6513,
0.95 - 0.97,4.67523,5.66985,8.54003,8.13632,10.9248,11.7112,13.9843,14.7041,17.6816,22.0333,30.1849,25.6606,31.5316,40.4982,
0.97 - 0.98,5.53363,6.4973,9.88068,9.45438,12.0727,12.8211,15.8568,16.5392,20.2511,22.9884,25.6606,44.7978,43.7194,46.6712,
0.98 - 0.99,7.7741,9.64431,14.5343,13.2538,17.334,19.3628,23.2633,24.6091,29.9288,33.824,31.5316,43.7194,91.2501,77.4593,
0.99 - 1,9.70198,11.715,16.8967,16.0406,22.1115,23.9791,29.4053,31.615,37.6494,42.6513,40.4982,46.6712,77.4593,166.533,

Statistical covariance matrix (x10^{-40} cm^2/nucleon)^2
0.3 - 0.57,0.770501,0.259454,0.129831,0.106977,0.157137,0.15525,0.232187,0.206328,0.19362,0.129825,0.0510722,0.248918,0.274093,0.29823,
0.57 - 0.68,0.259454,1.2459,0.437419,0.212844,0.191483,0.222903,0.305452,0.180864,0.259971,0.283525,0.093896,0.192023,0.334386,0.329178,
0.68 - 0.75,0.129831,0.437419,2.06299,0.734828,0.377953,0.322825,0.253143,0.0861096,0.209947,0.08939,0.133424,0.432213,0.840718,0.378175,
