This flux is only valid for the T2K 2015 numu CC analyses. 
 Do not use this flux for any other analysis! 

numu energy (GeV),Flux (x10^9/cm^2/50 MeV/10^21 POT) 
0 - 0.05,17.3236
0.05 - 0.1,70.5838
0.1 - 0.15,136.54
0.15 - 0.2,213.195
0.2 - 0.25,330.754
0.25 - 0.3,496.546
0.3 - 0.35,710.158
0.35 - 0.4,937.42
0.4 - 0.45,1189.63
0.45 - 0.5,1485.69
0.5 - 0.55,1676.95
0.55 - 0.6,1702.39
0.6 - 0.65,1594.87
0.65 - 0.7,1448
0.7 - 0.75,1231.48
0.75 - 0.8,990.102
0.8 - 0.85,743.135
0.85 - 0.9,538.147
0.9 - 0.95,392.772
0.95 - 1,299.485
1 - 1.05,237.773
1.05 - 1.1,199.044
1.1 - 1.15,166.665
1.15 - 1.2,143.281
1.2 - 1.25,124.359
1.25 - 1.3,108.177
1.3 - 1.35,97.6027
1.35 - 1.4,87.6458
1.4 - 1.45,79.5737
1.45 - 1.5,73.2719
1.5 - 1.55,66.0646
1.55 - 1.6,61.0045
1.6 - 1.65,58.1264
1.65 - 1.7,52.0861
1.7 - 1.75,47.6112
1.75 - 1.8,44.6106
1.8 - 1.85,44.7897
1.85 - 1.9,40.9587
1.9 - 1.95,37.5609
1.95 - 2,36.3828
2 - 2.05,34.7729
2.05 - 2.1,31.8944
2.1 - 2.15,31.6005
2.15 - 2.2,29.7859
2.2 - 2.25,28.776
2.25 - 2.3,26.3434
2.3 - 2.35,25.7645
2.35 - 2.4,24.2905
2.4 - 2.45,23.6616
2.45 - 2.5,22.998
2.5 - 2.55,21.2117
2.55 - 2.6,20.8018
2.6 - 2.65,20.5774
2.65 - 2.7,19.618
2.7 - 2.75,19.4021
2.75 - 2.8,18.5659
2.8 - 2.85,18.5528
2.85 - 2.9,17.9447
2.9 - 2.95,17.9124
2.95 - 3,17.3667
3 - 3.05,17.1234
3.05 - 3.1,16.5265
3.1 - 3.15,16.7722
3.15 - 3.2,16.1229
3.2 - 3.25,15.9705
3.25 - 3.3,15.0647
3.3 - 3.35,15.658
3.35 - 3.4,15.0378
3.4 - 3.45,14.925
3.45 - 3.5,15.3665
3.5 - 3.55,14.5644
3.55 - 3.6,14.2712
3.6 - 3.65,14.152
3.65 - 3.7,13.8062
3.7 - 3.75,13.4611
3.75 - 3.8,13.4421
3.8 - 3.85,13.0398
3.85 - 3.9,13.1213
3.9 - 3.95,13.3731
3.95 - 4,12.7653
4 - 4.05,12.7726
4.05 - 4.1,12.2768
4.1 - 4.15,11.8036
4.15 - 4.2,11.9137
4.2 - 4.25,11.8011
4.25 - 4.3,11.418
4.3 - 4.35,11.171
4.35 - 4.4,10.7351
4.4 - 4.45,10.3275
4.45 - 4.5,10.2154
4.5 - 4.55,10.0034
4.55 - 4.6,9.88578
4.6 - 4.65,9.36901
4.65 - 4.7,9.24396
4.7 - 4.75,8.96211
4.75 - 4.8,8.48882
4.8 - 4.85,8.34707
4.85 - 4.9,8.06611
4.9 - 4.95,7.84197
4.95 - 5,7.71859
5 - 5.05,7.33848
5.05 - 5.1,7.39578
5.1 - 5.15,7.04482
5.15 - 5.2,6.5924
5.2 - 5.25,6.44634
5.25 - 5.3,6.22296
5.3 - 5.35,6.39629
5.35 - 5.4,5.90975
5.4 - 5.45,5.60463
5.45 - 5.5,5.5555
5.5 - 5.55,5.52665
5.55 - 5.6,5.14914
5.6 - 5.65,5.07993
5.65 - 5.7,4.7359
5.7 - 5.75,4.72476
5.75 - 5.8,4.65416
5.8 - 5.85,4.47267
5.85 - 5.9,4.172
5.9 - 5.95,4.22631
5.95 - 6,4.15436
6 - 6.05,3.92751
6.05 - 6.1,3.82787
6.1 - 6.15,3.73595
6.15 - 6.2,3.57355
6.2 - 6.25,3.50491
6.25 - 6.3,3.47952
6.3 - 6.35,3.36754
6.35 - 6.4,3.32162
6.4 - 6.45,3.12865
6.45 - 6.5,3.13427
6.5 - 6.55,3.11486
6.55 - 6.6,2.98978
6.6 - 6.65,3.07694
6.65 - 6.7,2.73355
6.7 - 6.75,2.69624
6.75 - 6.8,2.74501
6.8 - 6.85,2.78693
6.85 - 6.9,2.57832
6.9 - 6.95,2.36285
6.95 - 7,2.41834
7 - 7.05,2.43496
7.05 - 7.1,2.45949
7.1 - 7.15,2.33894
7.15 - 7.2,2.18869
7.2 - 7.25,2.11124
7.25 - 7.3,2.10709
7.3 - 7.35,2.28189
7.35 - 7.4,2.13326
7.4 - 7.45,2.05019
7.45 - 7.5,2.03695
7.5 - 7.55,1.97061
7.55 - 7.6,1.90194
7.6 - 7.65,1.83961
7.65 - 7.7,1.80181
7.7 - 7.75,1.76634
7.75 - 7.8,1.66998
7.8 - 7.85,1.79548
7.85 - 7.9,1.64515
7.9 - 7.95,1.59435
7.95 - 8,1.52813
8 - 8.05,1.53988
8.05 - 8.1,1.5293
8.1 - 8.15,1.42326
8.15 - 8.2,1.45955
8.2 - 8.25,1.44051
8.25 - 8.3,1.3372
8.3 - 8.35,1.33896
8.35 - 8.4,1.2961
8.4 - 8.45,1.28455
8.45 - 8.5,1.18504
8.5 - 8.55,1.21251
8.55 - 8.6,1.23189
8.6 - 8.65,1.19574
8.65 - 8.7,1.12321
8.7 - 8.75,1.09386
8.75 - 8.8,1.17989
8.8 - 8.85,1.11887
8.85 - 8.9,1.06332
8.9 - 8.95,1.10144
8.95 - 9,1.01173
9 - 9.05,1.04331
9.05 - 9.1,0.986983
9.1 - 9.15,0.930276
9.15 - 9.2,0.867586
9.2 - 9.25,0.848748
9.25 - 9.3,0.900556
9.3 - 9.35,0.839153
9.35 - 9.4,0.906183
9.4 - 9.45,0.819893
9.45 - 9.5,0.783552
9.5 - 9.55,0.812781
9.55 - 9.6,0.759209
9.6 - 9.65,0.773793
9.65 - 9.7,0.753598
9.7 - 9.75,0.742824
9.75 - 9.8,0.782052
9.8 - 9.85,0.629918
9.85 - 9.9,0.712533
9.9 - 9.95,0.638262
9.95 - 10,0.630286
 > 10,26.2124
