   |          0 |          1 |          2 |          3 |          4 |          5 |          6 |          7 |          8 |          9 |         10 |         11 |         12 |         13 |         14 |         15 |         16 |         17 |         18 |         19 |         20 |         21 |         22 |         23 |         24 |         25 |         26 |         27 |         28 |         29 |         30 |         31 |         32 |         33 |         34 |         35 |         36 |         37 |         38 |         39 |         40 |         41 |         42 |         43 |         44 |         45 |         46 |         47 |         48 |         49 |         50 |         51 |         52 |         53 |         54 |         55 |         56 |         57 |         58 |         59 |         60 |         61 |         62 |         63 |         64 |         65 |         66 |         67 |         68 |         69 |         70 |
---|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|
 0 |  4.209e-83 |  2.957e-81 |   3.78e-81 |  5.911e-84 |  1.671e-81 |  3.137e-81 |  2.553e-81 |  1.452e-81 |  2.253e-84 |  1.315e-81 |   3.41e-81 |  4.229e-81 |  1.934e-81 |  8.131e-82 |  2.543e-84 |  1.513e-81 |  3.144e-81 |  3.301e-81 |  3.865e-81 |  1.698e-81 |  6.409e-82 |  3.985e-84 |  1.233e-81 |  2.923e-81 |  3.118e-81 |  4.633e-81 |  3.068e-81 |  1.677e-81 |  8.704e-82 |  8.361e-84 |  9.424e-82 |  2.327e-81 |  3.448e-81 |  4.055e-81 |  3.171e-81 |  2.352e-81 |  1.424e-81 |  7.869e-82 |  1.101e-83 |  1.228e-81 |  3.267e-81 |  3.989e-81 |  3.836e-81 |  2.532e-81 |  1.947e-81 |  1.128e-81 |  6.576e-82 |  1.126e-83 |   1.06e-81 |  2.041e-81 |  2.916e-81 |  3.746e-81 |  2.782e-81 |   1.98e-81 |  2.121e-81 |  1.679e-81 |  9.046e-82 |   1.58e-83 |  9.088e-82 |  2.784e-81 |  1.769e-81 |  1.631e-81 |  2.001e-81 |  1.689e-81 |  6.041e-83 |  1.075e-81 |  1.241e-81 |  1.763e-81 |  2.111e-81 |  2.799e-81 |  1.392e-82 |
 1 |  2.957e-81 |  2.926e-78 | -8.583e-79 | -1.834e-82 |  5.623e-79 |   2.05e-79 | -2.732e-79 |    4.1e-79 |  2.454e-82 |  2.869e-79 |  3.454e-79 |  1.993e-79 |  2.527e-79 |  1.028e-79 |  2.143e-82 |  1.668e-79 |  3.467e-79 |  3.579e-79 |  4.109e-79 |  1.897e-79 |  5.542e-80 |  3.438e-82 |   1.19e-79 |  3.391e-79 |  3.688e-79 |  4.618e-79 |  4.104e-79 |  2.102e-79 |  8.261e-80 |  8.149e-82 |  1.456e-79 |  2.666e-79 |  3.075e-79 |  3.839e-79 |  3.721e-79 |  2.525e-79 |  1.933e-79 |  8.648e-80 |  9.755e-82 |  1.231e-79 |  3.714e-79 |   3.95e-79 |  3.554e-79 |  2.709e-79 |  1.959e-79 |  1.188e-79 |  6.487e-80 |  1.182e-81 |  1.339e-79 |  2.169e-79 |  3.711e-79 |  3.525e-79 |  2.958e-79 |  2.155e-79 |  1.824e-79 |  1.553e-79 |  8.968e-80 |  2.029e-81 |  9.507e-80 |  3.038e-79 |  1.815e-79 |  1.686e-79 |  1.891e-79 |   1.81e-79 |  6.154e-81 |  1.105e-79 |  1.344e-79 |   1.62e-79 |   2.03e-79 |  2.567e-79 |  1.312e-80 |
 2 |   3.78e-81 | -8.583e-79 |  2.041e-78 |  1.053e-81 |  6.005e-80 |   8.21e-79 |  7.446e-79 |  1.022e-79 |  3.409e-82 |   1.39e-79 |  8.153e-79 |  7.774e-79 |  3.037e-79 |  1.163e-79 |  4.238e-82 |  2.447e-79 |  5.618e-79 |  5.655e-79 |   6.58e-79 |  2.884e-79 |  1.041e-79 |  7.429e-82 |  2.047e-79 |   5.31e-79 |  4.972e-79 |  7.259e-79 |  5.597e-79 |  2.295e-79 |  1.435e-79 |  1.363e-81 |  1.121e-79 |   4.17e-79 |  5.989e-79 |  7.093e-79 |  5.103e-79 |  3.862e-79 |   2.54e-79 |   1.19e-79 |  1.746e-81 |  1.935e-79 |  5.712e-79 |  6.656e-79 |  6.464e-79 |  4.007e-79 |  3.814e-79 |  1.542e-79 |  1.016e-79 |  1.844e-81 |  1.478e-79 |  3.191e-79 |  4.464e-79 |  6.267e-79 |  4.793e-79 |  3.135e-79 |  4.057e-79 |  2.994e-79 |  1.488e-79 |  2.565e-81 |  1.343e-79 |  4.731e-79 |  3.106e-79 |  2.898e-79 |  3.401e-79 |  2.703e-79 |  1.012e-80 |  1.849e-79 |  2.132e-79 |  3.357e-79 |  3.767e-79 |  4.625e-79 |  2.396e-80 |
 3 |  5.911e-84 | -1.834e-82 |  1.053e-81 |  6.139e-84 |   2.26e-82 |  1.241e-81 |  1.146e-81 |  5.926e-82 |  1.112e-84 |  2.853e-82 |  1.118e-81 |   1.28e-81 |  8.741e-82 |  2.786e-82 |  9.204e-85 |  4.772e-82 |  9.293e-82 |  9.586e-82 |  1.271e-81 |  6.993e-82 |  1.428e-82 |  1.368e-84 |  3.259e-82 |  8.994e-82 |  8.066e-82 |  1.326e-81 |  1.011e-81 |  5.553e-82 |  2.201e-82 |  2.603e-84 |  2.472e-82 |  7.285e-82 |  9.641e-82 |  1.224e-81 |  8.617e-82 |  7.343e-82 |  4.134e-82 |  2.172e-82 |   3.01e-84 |  3.244e-82 |  1.022e-81 |  1.163e-81 |  9.812e-82 |  6.606e-82 |  6.161e-82 |  3.169e-82 |  1.545e-82 |  3.407e-84 |  3.034e-82 |  5.597e-82 |  7.335e-82 |  1.037e-81 |  7.229e-82 |  4.745e-82 |  6.858e-82 |  4.288e-82 |  2.364e-82 |  4.606e-84 |  2.445e-82 |  7.082e-82 |  5.062e-82 |   4.19e-82 |  5.648e-82 |  4.433e-82 |  1.542e-83 |  3.573e-82 |  3.689e-82 |  4.934e-82 |  6.064e-82 |  6.716e-82 |  4.223e-83 |
 4 |  1.671e-81 |  5.623e-79 |  6.005e-80 |   2.26e-82 |  5.898e-79 |    2.4e-79 |  1.397e-79 |  1.187e-79 |  1.665e-82 |  2.661e-79 |  4.928e-79 |  3.275e-79 |  1.699e-79 |   5.46e-80 |  1.565e-82 |  3.362e-79 |  4.286e-79 |  3.954e-79 |  3.162e-79 |   1.37e-79 |  3.069e-80 |   3.48e-82 |  2.445e-79 |  4.705e-79 |  4.282e-79 |  4.375e-79 |  2.508e-79 |  1.592e-79 |  5.894e-80 |  7.558e-82 |  2.163e-79 |  3.573e-79 |  4.147e-79 |  4.609e-79 |  2.723e-79 |  1.832e-79 |  1.441e-79 |  7.234e-80 |  8.455e-82 |  2.227e-79 |  4.415e-79 |  4.642e-79 |  3.561e-79 |  1.903e-79 |  1.967e-79 |  1.022e-79 |  5.489e-80 |   1.06e-81 |  2.086e-79 |  2.835e-79 |  3.707e-79 |  3.704e-79 |  2.642e-79 |  1.748e-79 |  2.193e-79 |  1.725e-79 |  8.704e-80 |  1.582e-81 |  1.624e-79 |  2.979e-79 |   1.64e-79 |  1.816e-79 |  2.074e-79 |  1.644e-79 |  5.587e-81 |  1.416e-79 |  1.458e-79 |  2.021e-79 |  2.448e-79 |  2.707e-79 |  1.318e-80 |
 5 |  3.137e-81 |   2.05e-79 |   8.21e-79 |  1.241e-81 |    2.4e-79 |  1.231e-78 |  3.921e-79 |  2.947e-79 |  4.227e-82 |  2.898e-79 |  8.301e-79 |  8.614e-79 |  3.826e-79 |  1.653e-79 |  4.831e-82 |  3.301e-79 |  7.429e-79 |  6.989e-79 |  8.219e-79 |  3.788e-79 |  1.177e-79 |  8.789e-82 |  2.685e-79 |  7.383e-79 |  6.522e-79 |  9.643e-79 |  6.959e-79 |  3.177e-79 |  1.646e-79 |   1.69e-81 |  1.797e-79 |  5.636e-79 |   7.46e-79 |  8.928e-79 |  6.576e-79 |  4.756e-79 |  3.104e-79 |  1.482e-79 |  2.185e-81 |  2.695e-79 |  7.195e-79 |  8.885e-79 |  7.424e-79 |   4.59e-79 |  4.332e-79 |    2.2e-79 |  1.225e-79 |  2.399e-81 |  2.151e-79 |  4.694e-79 |  5.924e-79 |   7.62e-79 |  5.862e-79 |  3.977e-79 |  4.655e-79 |  3.419e-79 |  1.808e-79 |   3.38e-81 |  1.931e-79 |  5.735e-79 |  3.909e-79 |  3.332e-79 |  4.148e-79 |  3.455e-79 |  1.158e-80 |  2.364e-79 |  2.742e-79 |  3.828e-79 |  4.981e-79 |  5.587e-79 |  2.865e-80 |
 6 |  2.553e-81 | -2.732e-79 |  7.446e-79 |  1.146e-81 |  1.397e-79 |  3.921e-79 |  1.059e-78 | -2.016e-80 |  4.217e-82 |  1.432e-79 |   6.06e-79 |  6.715e-79 |  3.768e-79 |  8.468e-80 |  4.781e-82 |  2.066e-79 |  4.718e-79 |  5.625e-79 |  6.962e-79 |  2.266e-79 |  9.734e-80 |  7.285e-82 |   1.67e-79 |  4.908e-79 |  4.999e-79 |  7.143e-79 |  5.128e-79 |  2.259e-79 |  1.424e-79 |  1.315e-81 |  1.195e-79 |  3.965e-79 |  5.107e-79 |  6.932e-79 |  4.823e-79 |   3.66e-79 |  2.396e-79 |  1.143e-79 |  1.691e-81 |  1.669e-79 |  5.774e-79 |  6.048e-79 |  6.222e-79 |  3.645e-79 |  3.352e-79 |  1.576e-79 |  9.498e-80 |  1.916e-81 |  1.495e-79 |  3.021e-79 |  4.508e-79 |  5.576e-79 |  4.591e-79 |  2.752e-79 |  3.785e-79 |  2.639e-79 |  1.333e-79 |  2.609e-81 |  1.189e-79 |   4.51e-79 |  2.887e-79 |  2.724e-79 |   3.24e-79 |  2.619e-79 |  9.193e-81 |  1.592e-79 |  2.004e-79 |  3.111e-79 |  3.505e-79 |   4.19e-79 |  2.236e-80 |
 7 |  1.452e-81 |    4.1e-79 |  1.022e-79 |  5.926e-82 |  1.187e-79 |  2.947e-79 | -2.016e-80 |  6.267e-79 |  6.101e-83 |  7.356e-80 |  2.747e-79 |   3.77e-79 |  3.087e-79 |  1.536e-79 |  2.052e-82 |  5.431e-80 |  2.226e-79 |  2.997e-79 |  4.913e-79 |  3.495e-79 |  6.096e-80 |  3.724e-82 |   6.57e-80 |  2.197e-79 |  2.376e-79 |  4.543e-79 |  4.491e-79 |  2.477e-79 |  9.673e-80 |  8.329e-82 |  3.124e-80 |  1.872e-79 |  2.558e-79 |   3.68e-79 |  3.437e-79 |  2.794e-79 |   1.89e-79 |  6.878e-80 |  1.032e-81 |  7.427e-80 |  2.668e-79 |  3.506e-79 |  3.102e-79 |   2.69e-79 |  1.942e-79 |  1.222e-79 |  4.905e-80 |   1.07e-81 |  5.799e-80 |  1.755e-79 |  2.599e-79 |  3.519e-79 |  2.862e-79 |  1.926e-79 |  2.079e-79 |  1.397e-79 |  8.916e-80 |  1.371e-81 |  5.063e-80 |  2.453e-79 |  1.885e-79 |  1.408e-79 |  1.721e-79 |  1.519e-79 |    5.6e-81 |  9.057e-80 |  1.205e-79 |  1.403e-79 |  2.141e-79 |  2.268e-79 |  1.305e-80 |
 8 |  2.253e-84 |  2.454e-82 |  3.409e-82 |  1.112e-84 |  1.665e-82 |  4.227e-82 |  4.217e-82 |  6.101e-83 |  2.163e-84 |  1.285e-82 |  4.902e-82 |  4.873e-82 |  5.793e-82 |  3.025e-82 |  3.756e-85 |  1.497e-82 |  3.606e-82 |  5.002e-82 |  5.675e-82 |  7.366e-82 |  1.043e-82 |  6.287e-85 |  1.192e-82 |  4.112e-82 |  3.891e-82 |  6.632e-82 |  7.853e-82 |   4.93e-82 |  1.523e-82 |  1.291e-84 |  1.028e-82 |  2.904e-82 |  4.366e-82 |  5.737e-82 |  4.911e-82 |  5.189e-82 |  2.957e-82 |  1.063e-82 |  1.643e-84 |  1.103e-82 |  4.565e-82 |  5.099e-82 |  5.936e-82 |  4.367e-82 |  3.451e-82 |  1.639e-82 |  8.555e-83 |  1.778e-84 |  1.465e-82 |  2.297e-82 |  4.441e-82 |  4.808e-82 |   3.84e-82 |  2.941e-82 |  3.633e-82 |  2.047e-82 |  1.224e-82 |  2.773e-84 |  9.359e-83 |  3.318e-82 |  2.705e-82 |  2.135e-82 |  2.704e-82 |  2.446e-82 |  8.961e-84 |  1.603e-82 |  1.925e-82 |  2.486e-82 |  3.257e-82 |  3.525e-82 |  1.997e-83 |
