FLUX PREDICTION AT ND280
#bin  #bin_enu[GeV/c]  #Flux[cm^{-2}/50MeV]
0  [0,0.05]  9.67391e+09
1  [0.05,0.1]  3.88288e+10
2  [0.1,0.15]  7.80559e+10
3  [0.15,0.2]  1.24907e+11
4  [0.2,0.25]  1.94842e+11
5  [0.25,0.3]  2.926e+11
6  [0.3,0.35]  4.13788e+11
7  [0.35,0.4]  5.49408e+11
8  [0.4,0.45]  6.94175e+11
9  [0.45,0.5]  8.54036e+11
10  [0.5,0.55]  9.60271e+11
11  [0.55,0.6]  9.78751e+11
12  [0.6,0.65]  9.20444e+11
13  [0.65,0.7]  8.3047e+11
14  [0.7,0.75]  7.13165e+11
15  [0.75,0.8]  5.70913e+11
16  [0.8,0.85]  4.28969e+11
17  [0.85,0.9]  3.10518e+11
18  [0.9,0.95]  2.26618e+11
19  [0.95,1]  1.72089e+11
20  [1,1.05]  1.35255e+11
21  [1.05,1.1]  1.13095e+11
22  [1.1,1.15]  9.417e+10
23  [1.15,1.2]  8.08837e+10
24  [1.2,1.25]  7.06752e+10
25  [1.25,1.3]  6.11371e+10
26  [1.3,1.35]  5.66611e+10
27  [1.35,1.4]  4.95369e+10
28  [1.4,1.45]  4.42832e+10
29  [1.45,1.5]  4.11672e+10
30  [1.5,1.55]  3.79743e+10
31  [1.55,1.6]  3.64331e+10
32  [1.6,1.65]  3.27335e+10
33  [1.65,1.7]  3.03295e+10
34  [1.7,1.75]  2.8375e+10
35  [1.75,1.8]  2.57501e+10
36  [1.8,1.85]  2.48886e+10
37  [1.85,1.9]  2.28605e+10
38  [1.9,1.95]  2.19202e+10
39  [1.95,2]  1.97591e+10
40  [2,2.05]  1.96002e+10
41  [2.05,2.1]  1.77486e+10
42  [2.1,2.15]  1.81171e+10
43  [2.15,2.2]  1.64986e+10
44  [2.2,2.25]  1.60876e+10
45  [2.25,2.3]  1.51201e+10
46  [2.3,2.35]  1.52374e+10
47  [2.35,2.4]  1.38162e+10
48  [2.4,2.45]  1.2851e+10
49  [2.45,2.5]  1.24699e+10
50  [2.5,2.55]  1.21373e+10
51  [2.55,2.6]  1.19696e+10
52  [2.6,2.65]  1.13927e+10
53  [2.65,2.7]  1.18835e+10
54  [2.7,2.75]  1.09368e+10
55  [2.75,2.8]  1.05496e+10
56  [2.8,2.85]  1.03925e+10
57  [2.85,2.9]  1.07235e+10
58  [2.9,2.95]  9.97222e+09
59  [2.95,3]  9.98827e+09
60  [3,3.05]  9.37611e+09
61  [3.05,3.1]  9.5255e+09
62  [3.1,3.15]  9.17647e+09
63  [3.15,3.2]  8.75698e+09
64  [3.2,3.25]  9.02086e+09
65  [3.25,3.3]  8.39591e+09
66  [3.3,3.35]  8.52657e+09
67  [3.35,3.4]  8.62983e+09
68  [3.4,3.45]  8.01295e+09
69  [3.45,3.5]  8.07957e+09
70  [3.5,3.55]  7.93412e+09
71  [3.55,3.6]  7.72818e+09
72  [3.6,3.65]  7.74768e+09
73  [3.65,3.7]  7.70265e+09
74  [3.7,3.75]  7.33232e+09
75  [3.75,3.8]  7.61663e+09
76  [3.8,3.85]  7.52664e+09
77  [3.85,3.9]  7.05236e+09
78  [3.9,3.95]  6.95956e+09
79  [3.95,4]  6.9703e+09
80  [4,4.05]  6.92355e+09
81  [4.05,4.1]  6.78443e+09
82  [4.1,4.15]  6.77732e+09
83  [4.15,4.2]  6.71589e+09
84  [4.2,4.25]  6.56643e+09
85  [4.25,4.3]  6.28394e+09
86  [4.3,4.35]  6.19044e+09
87  [4.35,4.4]  5.97269e+09
88  [4.4,4.45]  5.73942e+09
89  [4.45,4.5]  5.66282e+09
90  [4.5,4.55]  5.50322e+09
91  [4.55,4.6]  5.45587e+09
92  [4.6,4.65]  5.25487e+09
93  [4.65,4.7]  4.99348e+09
94  [4.7,4.75]  4.97721e+09
95  [4.75,4.8]  4.78601e+09
96  [4.8,4.85]  4.63298e+09
97  [4.85,4.9]  4.35974e+09
98  [4.9,4.95]  4.33961e+09
99  [4.95,5]  4.19666e+09
100  [5,5.05]  4.05139e+09
101  [5.05,5.1]  3.99191e+09
102  [5.1,5.15]  3.79032e+09
103  [5.15,5.2]  3.5209e+09
104  [5.2,5.25]  3.53099e+09
105  [5.25,5.3]  3.4062e+09
106  [5.3,5.35]  3.35677e+09
107  [5.35,5.4]  3.18242e+09
108  [5.4,5.45]  3.06272e+09
109  [5.45,5.5]  3.00199e+09
110  [5.5,5.55]  2.9773e+09
111  [5.55,5.6]  2.89334e+09
112  [5.6,5.65]  2.76876e+09
113  [5.65,5.7]  2.64427e+09
114  [5.7,5.75]  2.54666e+09
115  [5.75,5.8]  2.4162e+09
116  [5.8,5.85]  2.30553e+09
117  [5.85,5.9]  2.3847e+09
118  [5.9,5.95]  2.31325e+09
119  [5.95,6]  2.19465e+09
120  [6,6.05]  2.19818e+09
121  [6.05,6.1]  2.04693e+09
122  [6.1,6.15]  2.07495e+09
123  [6.15,6.2]  1.9267e+09
124  [6.2,6.25]  1.89867e+09
125  [6.25,6.3]  1.86591e+09
126  [6.3,6.35]  1.85142e+09
127  [6.35,6.4]  1.78287e+09
128  [6.4,6.45]  1.61588e+09
129  [6.45,6.5]  1.71767e+09
130  [6.5,6.55]  1.63553e+09
131  [6.55,6.6]  1.65508e+09
132  [6.6,6.65]  1.51877e+09
133  [6.65,6.7]  1.48972e+09
134  [6.7,6.75]  1.38509e+09
135  [6.75,6.8]  1.36475e+09
136  [6.8,6.85]  1.35432e+09
137  [6.85,6.9]  1.35446e+09
138  [6.9,6.95]  1.31897e+09
139  [6.95,7]  1.24284e+09
140  [7,7.05]  1.32262e+09
141  [7.05,7.1]  1.23178e+09
142  [7.1,7.15]  1.17898e+09
143  [7.15,7.2]  1.14956e+09
144  [7.2,7.25]  1.15379e+09
145  [7.25,7.3]  1.15472e+09
146  [7.3,7.35]  1.04754e+09
147  [7.35,7.4]  1.06436e+09
148  [7.4,7.45]  1.05338e+09
149  [7.45,7.5]  9.66425e+08
150  [7.5,7.55]  9.47235e+08
151  [7.55,7.6]  9.55502e+08
152  [7.6,7.65]  9.09246e+08
153  [7.65,7.7]  8.89455e+08
154  [7.7,7.75]  8.94499e+08
155  [7.75,7.8]  8.78403e+08
156  [7.8,7.85]  8.49709e+08
157  [7.85,7.9]  8.19533e+08
158  [7.9,7.95]  8.05915e+08
159  [7.95,8]  7.56392e+08
160  [8,8.05]  7.45926e+08
161  [8.05,8.1]  6.87658e+08
162  [8.1,8.15]  6.82695e+08
163  [8.15,8.2]  6.83661e+08
164  [8.2,8.25]  6.94183e+08
165  [8.25,8.3]  6.58259e+08
166  [8.3,8.35]  6.88223e+08
167  [8.35,8.4]  6.26993e+08
168  [8.4,8.45]  6.17606e+08
169  [8.45,8.5]  6.27338e+08
170  [8.5,8.55]  6.12535e+08
171  [8.55,8.6]  6.041e+08
172  [8.6,8.65]  5.52161e+08
173  [8.65,8.7]  5.42539e+08
174  [8.7,8.75]  5.60038e+08
175  [8.75,8.8]  4.98387e+08
176  [8.8,8.85]  4.82006e+08
177  [8.85,8.9]  4.77516e+08
178  [8.9,8.95]  5.04049e+08
179  [8.95,9]  4.61474e+08
180  [9,9.05]  4.58695e+08
181  [9.05,9.1]  4.41051e+08
182  [9.1,9.15]  4.38317e+08
183  [9.15,9.2]  4.17425e+08
184  [9.2,9.25]  4.28913e+08
185  [9.25,9.3]  4.04799e+08
186  [9.3,9.35]  4.01267e+08
187  [9.35,9.4]  3.70579e+08
188  [9.4,9.45]  3.87275e+08
189  [9.45,9.5]  3.48453e+08
190  [9.5,9.55]  3.63945e+08
191  [9.55,9.6]  3.76572e+08
192  [9.6,9.65]  3.3366e+08
193  [9.65,9.7]  3.1633e+08
194  [9.7,9.75]  3.10259e+08
195  [9.75,9.8]  3.16328e+08
196  [9.8,9.85]  2.98932e+08
197  [9.85,9.9]  2.55589e+08
198  [9.9,9.95]  3.02792e+08
199  [9.95,10]  2.44025e+08
200  [10,11]  2.17575e+08
201  [11,12]  1.29568e+08
202  [12,13]  7.96469e+07
203  [13,14]  4.84456e+07
204  [14,15]  2.50996e+07
205  [15,16]  1.45959e+07
206  [16,17]  6.91503e+06
