Delta_pi_theta_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
-1.00 , -0.80 ,  6.2 ,  3.9 ,  2.4 ,  5.4 ,  1.2 ,  9.5
-0.80 , -0.60 ,  5.7 ,  4.8 ,  6.3 ,  4.8 ,  1.3 , 10.9
-0.60 , -0.40 ,  7.1 ,  5.0 ,  7.6 ,  4.6 ,  1.6 , 12.5
-0.40 , -0.20 ,  5.0 ,  5.1 ,  5.2 ,  4.8 ,  1.6 , 10.2
-0.20 , 0.00 ,  5.6 ,  5.5 ,  4.5 ,  4.1 ,  1.8 , 10.1
0.00 , 0.20 ,  4.3 ,  5.5 ,  4.4 ,  3.7 ,  1.7 ,  9.2
0.20 , 0.40 ,  4.7 ,  6.4 ,  7.3 ,  3.1 ,  2.0 , 11.4
0.40 , 0.60 ,  6.7 ,  6.3 ,  9.2 ,  3.0 ,  2.1 , 13.5
0.60 , 0.80 ,  7.0 ,  6.7 , 10.5 ,  2.8 ,  2.1 , 14.7
0.80 , 1.00 ,  5.5 ,  6.7 ,  7.5 ,  3.8 ,  1.8 , 12.2
