Enu_xsec
Bin Min , Bin Max , Detector, X-Sec Model, FSI, Flux, Other, Total
0.00 , 1.50 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0
1.50 , 3.00 , 14.9 ,  3.9 ,  2.5 ,  7.2 ,  0.7 , 17.2
3.00 , 3.50 ,  4.7 ,  3.8 ,  1.8 ,  5.4 ,  0.7 ,  8.4
3.50 , 4.00 ,  5.3 ,  4.0 ,  2.5 ,  7.5 ,  0.6 , 10.3
4.00 , 5.00 ,  8.7 ,  4.8 ,  3.4 , 12.9 ,  0.4 , 16.7
5.00 , 6.00 ,  4.2 ,  5.7 ,  4.5 ,  8.5 ,  0.4 , 11.9
6.00 , 8.00 ,  5.0 ,  8.4 ,  6.6 ,  9.4 ,  0.1 , 15.1
8.00 , 10.00 ,  3.2 ,  4.2 ,  4.0 , 10.3 ,  0.5 , 12.3
10.00 , 12.00 ,  4.5 ,  4.3 ,  3.7 , 10.2 ,  0.6 , 12.6
12.00 , 15.00 ,  4.7 ,  4.9 ,  3.8 , 10.6 ,  0.5 , 13.1
15.00 , 20.00 , 17.0 ,  7.0 ,  6.3 , 13.4 ,  0.2 , 23.6
