Degrees,0 - 5,5 - 10,10 -15,15 - 20,20 - 25,25 - 30,30 - 35,35 - 40,40 - 45,45 - 50,50 - 60,60 - 70
0 - 5,0.0931,0.0923,0.0859,0.0256,0.0682,0.0426,0.0683,0.0556,0.0543,0.0173,0.0259,0.0859 
5 - 10,0.0923,0.1068,0.0968,0.0311,0.0804,0.0525,0.0815,0.0675,0.0671,0.0246,0.0319,0.0988
10 -15,0.0859,0.0968,0.1070,0.0336,0.0804,0.0567,0.0837,0.0692,0.0696,0.0300,0.0353,0.0917
15 - 20,0.0256,0.0311,0.0336,0.0280,0.0347,0.0295,0.0354,0.0330,0.0334,0.0220,0.0182,0.0305
20 - 25,0.0682,0.0804,0.0804,0.0347,0.0848,0.0550,0.0756,0.0663,0.0659,0.0331,0.0341,0.0807
25 - 30,0.0426,0.0525,0.0567,0.0295,0.0550,0.0545,0.0566,0.0514,0.0519,0.0313,0.0280,0.0524
30 - 35,0.0683,0.0815,0.0837,0.0354,0.0756,0.0566,0.0856,0.0678,0.0682,0.0349,0.0352,0.0803
35 - 40,0.0556,0.0675,0.0692,0.0330,0.0663,0.0514,0.0678,0.0690,0.0612,0.0339,0.0321,0.0674
40 - 45,0.0543,0.0671,0.0696,0.0334,0.0659,0.0519,0.0682,0.0612,0.0693,0.0349,0.0326,0.0664
45 - 50,0.0173,0.0246,0.0300,0.0220,0.0331,0.0313,0.0349,0.0339,0.0349,0.0310,0.0197,0.0248
50 - 60,0.0259,0.0319,0.0353,0.0182,0.0341,0.0280,0.0352,0.0321,0.0326,0.0197,0.0216,0.0321
60 - 70,0.0859,0.0988,0.0917,0.0305,0.0807,0.0524,0.0803,0.0674,0.0664,0.0248,0.0321,0.1003
