p_{#pi} / GeV,0.2 - 0.3,0.3 - 0.35,0.35 - 0.4,0.4 - 0.5,0.5 - 0.6,0.6 - 0.7,0.7 - 0.85,0.85 - 1.1,1.1 - 1.4,1.4 - 1.85,1.85 - 30,
Cross-section (x10^{-40} cm^2/nucleon) ,15.5198,10.5405,6.9743,5.64417,2.18121,1.89273,1.89662,1.82126,0.975227,0.327762,-0.00151933,
Total uncertainty (x10^{-40} cm^2/nucleon) ,4.39636,3.4865,2.54191,1.84612,1.02185,0.891946,0.850967,0.755682,0.561903,0.562197,0.00478422,

Total covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,19.3279,13.0228,7.88526,5.64588,2.01762,1.7779,1.75863,1.85486,1.19514,0.954796,0.00363868,
0.3 - 0.35,13.0228,12.1557,7.3547,4.64695,1.71825,1.45709,1.3712,1.39409,0.841429,0.632875,0.00276086,
0.35 - 0.4,7.88526,7.3547,6.46132,3.5759,1.26354,1.01057,0.925939,0.920147,0.552107,0.405106,0.00177347,
0.4 - 0.5,5.64588,4.64695,3.5759,3.40815,1.28267,0.940167,0.849881,0.794,0.520606,0.418085,0.00175337,
0.5 - 0.6,2.01762,1.71825,1.26354,1.28267,1.04418,0.689936,0.498525,0.395818,0.26123,0.227262,0.0011108,
0.6 - 0.7,1.7779,1.45709,1.01057,0.940167,0.689936,0.795568,0.592087,0.43943,0.273583,0.215854,0.000716399,
0.7 - 0.85,1.75863,1.3712,0.925939,0.849881,0.498525,0.592087,0.724145,0.530176,0.327818,0.254802,0.000533009,
0.85 - 1.1,1.85486,1.39409,0.920147,0.794,0.395818,0.43943,0.530176,0.571056,0.350144,0.268583,0.000572176,
1.1 - 1.4,1.19514,0.841429,0.552107,0.520606,0.26123,0.273583,0.327818,0.350144,0.315735,0.273236,0.000747932,
1.4 - 1.85,0.954796,0.632875,0.405106,0.418085,0.227262,0.215854,0.254802,0.268583,0.273236,0.316065,0.0012426,
